query,template_family,station,intent,origin,destination,transport_mode,information_type,slots_reviewed,language,script,source,split
तिरुमंगलम से नंदनम के लिए दिशा-निर्देश दीजिए,route_query:directions,THIRUMANGALAM,route_query,THIRUMANGALAM,NANDANAM,,,False,hi,devanagari,template_combinatorial,train
high court se tambaram jane ke liye direct train hai kya?,route_query:direct_train,HIGH_COURT,route_query,HIGH_COURT,TAMBARAM,,,False,hinglish,latin_hinglish,template_combinatorial,train
egmore se thousand lights interchange station kaun sa padega?,route_query:interchange_point,CHENNAI_EGMORE,route_query,CHENNAI_EGMORE,THOUSAND_LIGHTS,,,False,hinglish,latin_hinglish,template_combinatorial,train
हवाई अड्डा स्टेशन से निकलकर तिरुमंगलम तक कैसे पहुंचें?,route_query:station_exit,CHENNAI_AIRPORT,route_query,CHENNAI_AIRPORT,THIRUMANGALAM,,,False,hi,devanagari,template_combinatorial,train
क्या अशोक नगर से किल्पॉक के लिए कोई सीधा रास्ता है?,route_query:direct_path,ASHOK_NAGAR,route_query,ASHOK_NAGAR,KILPAUK,,,False,hi,devanagari,template_combinatorial,train
how to reach nehru park from shenoy nagar in chennai?,route_query:reach_english,SHENOY_NAGAR,route_query,SHENOY_NAGAR,NEHRU_PARK,,,False,hinglish,latin_hinglish,template_combinatorial,train
anna nagar to st thomas mount kaise pahuche?,route_query:reach_info,ANNA_NAGAR,route_query,ANNA_NAGAR,ST_THOMAS_MOUNT,,,False,hinglish,latin_hinglish,template_combinatorial,train
एग्मोर से वेलाचेरी कैसे पहुंच सकते हैं?,route_query:reach_info,CHENNAI_EGMORE,route_query,CHENNAI_EGMORE,VELACHERY,,,False,hi,devanagari,template_combinatorial,train
शेनॉय नगर से एग्मोर जाने के लिए क्या साधन है?,route_query:means_transport,SHENOY_NAGAR,route_query,SHENOY_NAGAR,CHENNAI_EGMORE,,,False,hi,devanagari,template_combinatorial,train
कृपया तिरुमंगलम से सीएमबीटी जाने का सबसे आसान तरीका बताएं,route_query:easiest_way,THIRUMANGALAM,route_query,THIRUMANGALAM,CMBT,,,False,hi,devanagari,template_combinatorial,train
किल्पॉक से हवाई अड्डा जाने के लिए क्या साधन है?,route_query:means_transport,KILPAUK,route_query,KILPAUK,CHENNAI_AIRPORT,,,False,hi,devanagari,template_combinatorial,train
सेंट थॉमस माउंट से लिटिल माउंट के लिए सीधी मेट्रो या ट्रेन है क्या?,route_query:direct_metro,ST_THOMAS_MOUNT,route_query,ST_THOMAS_MOUNT,LITTLE_MOUNT,,,False,hi,devanagari,template_combinatorial,train
chennai airport se lic kaise jau?,route_query:how_basic,CHENNAI_AIRPORT,route_query,CHENNAI_AIRPORT,LIC,,,False,hinglish,latin_hinglish,template_combinatorial,train
central railway station se chennai egmore ke liye kaun sa route best hai?,route_query:best_route,CHENNAI_CENTRAL,route_query,CHENNAI_CENTRAL,CHENNAI_EGMORE,,,False,hinglish,latin_hinglish,template_combinatorial,train
thirumangalam to tambaram kaise pahuche?,route_query:reach_info,THIRUMANGALAM,route_query,THIRUMANGALAM,TAMBARAM,,,False,hinglish,latin_hinglish,template_combinatorial,train
how to reach central railway station from guindy in chennai?,route_query:reach_english,GUINDY,route_query,GUINDY,CHENNAI_CENTRAL,,,False,hinglish,latin_hinglish,template_combinatorial,train
thousand lights se central railway station ke liye kaun sa route best hai?,route_query:best_route,THOUSAND_LIGHTS,route_query,THOUSAND_LIGHTS,CHENNAI_CENTRAL,,,False,hinglish,latin_hinglish,template_combinatorial,train
सीएमबीटी से ताम्बरम जाने के लिए सबसे तेज़ रास्ता कौन सा है?,route_query:fastest_path,CMBT,route_query,CMBT,TAMBARAM,,,False,hi,devanagari,template_combinatorial,train
गिंडी से शेनॉय नगर कैसे जाऊँ?,route_query:how_basic,GUINDY,route_query,GUINDY,SHENOY_NAGAR,,,False,hi,devanagari,template_combinatorial,train
वेलाचेरी से तिरुमंगलम जाने के लिए इंटरचेंज कहाँ करना होगा?,route_query:interchange_point,VELACHERY,route_query,VELACHERY,THIRUMANGALAM,,,False,hi,devanagari,template_combinatorial,train
how to reach kilpauk from airport in chennai?,route_query:reach_english,CHENNAI_AIRPORT,route_query,CHENNAI_AIRPORT,KILPAUK,,,False,hinglish,latin_hinglish,template_combinatorial,train
चेन्नई बीच से ताम्बरम का सबसे सुरक्षित रास्ता क्या है?,route_query:safe_route,CHENNAI_BEACH,route_query,CHENNAI_BEACH,TAMBARAM,,,False,hi,devanagari,template_combinatorial,train
शेनॉय नगर से वडापलानी के लिए दिशा-निर्देश दीजिए,route_query:directions,SHENOY_NAGAR,route_query,SHENOY_NAGAR,VADAPALANI,,,False,hi,devanagari,template_combinatorial,train
चेन्नई बीच से सेंट्रल जाने के लिए सबसे तेज़ रास्ता कौन सा है?,route_query:fastest_path,CHENNAI_BEACH,route_query,CHENNAI_BEACH,CHENNAI_CENTRAL,,,False,hi,devanagari,template_combinatorial,train
अन्ना नगर स्टेशन से निकलकर नेहरू पार्क तक कैसे पहुंचें?,route_query:station_exit,ANNA_NAGAR,route_query,ANNA_NAGAR,NEHRU_PARK,,,False,hi,devanagari,template_combinatorial,train
शेनॉय नगर से मीनांबक्कम के लिए सीधी मेट्रो या ट्रेन है क्या?,route_query:direct_metro,SHENOY_NAGAR,route_query,SHENOY_NAGAR,MEENAMBAKKAM,,,False,hi,devanagari,template_combinatorial,train
alandur se vadapalani ke liye kaun sa route best hai?,route_query:best_route,ALANDUR,route_query,ALANDUR,VADAPALANI,,,False,hinglish,latin_hinglish,template_combinatorial,train
t nagar se alandur interchange station kaun sa padega?,route_query:interchange_point,NANDANAM,route_query,NANDANAM,ALANDUR,,,False,hinglish,latin_hinglish,template_combinatorial,train
तेनामपेट से मीनांबक्कम के लिए कौन सी ट्रेन या बस ठीक रहेगी?,route_query:mode_advice,TEYNAMPET,route_query,TEYNAMPET,MEENAMBAKKAM,,,False,hi,devanagari,template_combinatorial,train
chennai beach se vadapalani interchange station kaun sa padega?,route_query:interchange_point,CHENNAI_BEACH,route_query,CHENNAI_BEACH,VADAPALANI,,,False,hinglish,latin_hinglish,template_combinatorial,train
chennai central se anna nagar fastest way to travel?,route_query:fastest_path,CHENNAI_CENTRAL,route_query,CHENNAI_CENTRAL,ANNA_NAGAR,,,False,hinglish,latin_hinglish,template_combinatorial,train
government estate se shenoy nagar travel directions,route_query:directions,GOVERNMENT_ESTATE,route_query,GOVERNMENT_ESTATE,SHENOY_NAGAR,,,False,hinglish,latin_hinglish,template_combinatorial,train
shenoy nagar se nandanam fastest way to travel?,route_query:fastest_path,SHENOY_NAGAR,route_query,SHENOY_NAGAR,NANDANAM,,,False,hinglish,latin_hinglish,template_combinatorial,train
alandur se shenoy nagar fastest way to travel?,route_query:fastest_path,ALANDUR,route_query,ALANDUR,SHENOY_NAGAR,,,False,hinglish,latin_hinglish,template_combinatorial,train
anna nagar se ashok nagar kaise jau?,route_query:how_basic,ANNA_NAGAR,route_query,ANNA_NAGAR,ASHOK_NAGAR,,,False,hinglish,latin_hinglish,template_combinatorial,train
shenoy nagar se st thomas mount interchange station kaun sa padega?,route_query:interchange_point,SHENOY_NAGAR,route_query,SHENOY_NAGAR,ST_THOMAS_MOUNT,,,False,hinglish,latin_hinglish,template_combinatorial,train
velachery se meenambakkam travel directions,route_query:directions,VELACHERY,route_query,VELACHERY,MEENAMBAKKAM,,,False,hinglish,latin_hinglish,template_combinatorial,train
चेन्नई एयरपोर्ट से तिरुमंगलम के लिए कौन सी ट्रेन या बस ठीक रहेगी?,route_query:mode_advice,CHENNAI_AIRPORT,route_query,CHENNAI_AIRPORT,THIRUMANGALAM,,,False,hi,devanagari,template_combinatorial,train
ताम्बरम से कोयम्बेडु मार्केट जाने के लिए सबसे तेज़ रास्ता कौन सा है?,route_query:fastest_path,TAMBARAM,route_query,TAMBARAM,KOYAMBEDU,,,False,hi,devanagari,template_combinatorial,train
chennai central to meenambakkam kaise pahuche?,route_query:reach_info,CHENNAI_CENTRAL,route_query,CHENNAI_CENTRAL,MEENAMBAKKAM,,,False,hinglish,latin_hinglish,template_combinatorial,train
तेनामपेट से चेन्नई बीच कैसे पहुंच सकते हैं?,route_query:reach_info,TEYNAMPET,route_query,TEYNAMPET,CHENNAI_BEACH,,,False,hi,devanagari,template_combinatorial,train
how to reach chennai egmore from little mount in chennai?,route_query:reach_english,LITTLE_MOUNT,route_query,LITTLE_MOUNT,CHENNAI_EGMORE,,,False,hinglish,latin_hinglish,template_combinatorial,train
टी नगर से कोयम्बेडु कैसे पहुंच सकते हैं?,route_query:reach_info,NANDANAM,route_query,NANDANAM,KOYAMBEDU,,,False,hi,devanagari,template_combinatorial,train
क्या अशोक नगर से टी नगर के लिए कोई सीधा रास्ता है?,route_query:direct_path,ASHOK_NAGAR,route_query,ASHOK_NAGAR,NANDANAM,,,False,hi,devanagari,template_combinatorial,train
क्या तेनामपेट से टी नगर के लिए कोई सीधा रास्ता है?,route_query:direct_path,TEYNAMPET,route_query,TEYNAMPET,NANDANAM,,,False,hi,devanagari,template_combinatorial,train
नंदनम से किल्पॉक का सबसे सुरक्षित रास्ता क्या है?,route_query:safe_route,NANDANAM,route_query,NANDANAM,KILPAUK,,,False,hi,devanagari,template_combinatorial,train
मीनांबक्कम से लिटिल माउंट के लिए सीधी मेट्रो या ट्रेन है क्या?,route_query:direct_metro,MEENAMBAKKAM,route_query,MEENAMBAKKAM,LITTLE_MOUNT,,,False,hi,devanagari,template_combinatorial,train
नंदनम से एग्मोर के लिए सीधी मेट्रो या ट्रेन है क्या?,route_query:direct_metro,NANDANAM,route_query,NANDANAM,CHENNAI_EGMORE,,,False,hi,devanagari,template_combinatorial,train
नेहरू पार्क से शेनॉय नगर जाने के लिए सबसे तेज़ रास्ता कौन सा है?,route_query:fastest_path,NEHRU_PARK,route_query,NEHRU_PARK,SHENOY_NAGAR,,,False,hi,devanagari,template_combinatorial,train
guindy se kilpauk fastest way to travel?,route_query:fastest_path,GUINDY,route_query,GUINDY,KILPAUK,,,False,hinglish,latin_hinglish,template_combinatorial,train
government estate se st thomas mount fastest way to travel?,route_query:fastest_path,GOVERNMENT_ESTATE,route_query,GOVERNMENT_ESTATE,ST_THOMAS_MOUNT,,,False,hinglish,latin_hinglish,template_combinatorial,train
एलआईसी से लिटिल माउंट कैसे जाऊँ?,route_query:how_basic,LIC,route_query,LIC,LITTLE_MOUNT,,,False,hi,devanagari,template_combinatorial,train
हाई कोर्ट से चेन्नई बीच जाने के लिए इंटरचेंज कहाँ करना होगा?,route_query:interchange_point,HIGH_COURT,route_query,HIGH_COURT,CHENNAI_BEACH,,,False,hi,devanagari,template_combinatorial,train
तेनामपेट से सेंट थॉमस माउंट के लिए सीधी मेट्रो या ट्रेन है क्या?,route_query:direct_metro,TEYNAMPET,route_query,TEYNAMPET,ST_THOMAS_MOUNT,,,False,hi,devanagari,template_combinatorial,train
हाई कोर्ट से सेंट्रल जाने के लिए क्या साधन है?,route_query:means_transport,HIGH_COURT,route_query,HIGH_COURT,CHENNAI_CENTRAL,,,False,hi,devanagari,template_combinatorial,train
चेन्नई एयरपोर्ट से सैदापेट कैसे जाऊँ?,route_query:how_basic,CHENNAI_AIRPORT,route_query,CHENNAI_AIRPORT,SAIDAPET,,,False,hi,devanagari,template_combinatorial,train
alandur se chennai egmore jane ke liye direct train hai kya?,route_query:direct_train,ALANDUR,route_query,ALANDUR,CHENNAI_EGMORE,,,False,hinglish,latin_hinglish,template_combinatorial,train
vadapalani se t nagar fastest way to travel?,route_query:fastest_path,VADAPALANI,route_query,VADAPALANI,NANDANAM,,,False,hinglish,latin_hinglish,template_combinatorial,train
guindy se thirumangalam kaise jau?,route_query:how_basic,GUINDY,route_query,GUINDY,THIRUMANGALAM,,,False,hinglish,latin_hinglish,template_combinatorial,train
koyambedu se kilpauk travel directions,route_query:directions,KOYAMBEDU,route_query,KOYAMBEDU,KILPAUK,,,False,hinglish,latin_hinglish,template_combinatorial,train
गवर्नमेंट एस्टेट से सीएमबीटी के लिए सीधी मेट्रो या ट्रेन है क्या?,route_query:direct_metro,GOVERNMENT_ESTATE,route_query,GOVERNMENT_ESTATE,CMBT,,,False,hi,devanagari,template_combinatorial,train
सीएमबीटी से अशोक नगर कैसे पहुंच सकते हैं?,route_query:reach_info,CMBT,route_query,CMBT,ASHOK_NAGAR,,,False,hi,devanagari,template_combinatorial,train
anna nagar se teynampet kaise jau?,route_query:how_basic,ANNA_NAGAR,route_query,ANNA_NAGAR,TEYNAMPET,,,False,hinglish,latin_hinglish,template_combinatorial,train
how to reach egmore from chennai beach in chennai?,route_query:reach_english,CHENNAI_BEACH,route_query,CHENNAI_BEACH,CHENNAI_EGMORE,,,False,hinglish,latin_hinglish,template_combinatorial,train
एयरपोर्ट से शेनॉय नगर जाने के लिए सबसे तेज़ रास्ता कौन सा है?,route_query:fastest_path,CHENNAI_AIRPORT,route_query,CHENNAI_AIRPORT,SHENOY_NAGAR,,,False,hi,devanagari,template_combinatorial,train
सेंट्रल रेलवे स्टेशन से थाउजेंड लाइट्स कैसे पहुंच सकते हैं?,route_query:reach_info,CHENNAI_CENTRAL,route_query,CHENNAI_CENTRAL,THOUSAND_LIGHTS,,,False,hi,devanagari,template_combinatorial,train
कृपया एग्मोर से हाई कोर्ट जाने का सबसे आसान तरीका बताएं,route_query:easiest_way,CHENNAI_EGMORE,route_query,CHENNAI_EGMORE,HIGH_COURT,,,False,hi,devanagari,template_combinatorial,train
एजी-डीएमएस से सेंट थॉमस माउंट कैसे जाऊँ?,route_query:how_basic,AG_DMS,route_query,AG_DMS,ST_THOMAS_MOUNT,,,False,hi,devanagari,template_combinatorial,train
how to reach meenambakkam from vadapalani in chennai?,route_query:reach_english,VADAPALANI,route_query,VADAPALANI,MEENAMBAKKAM,,,False,hinglish,latin_hinglish,template_combinatorial,train
अशोक नगर से वेलाचेरी के लिए सीधी मेट्रो या ट्रेन है क्या?,route_query:direct_metro,ASHOK_NAGAR,route_query,ASHOK_NAGAR,VELACHERY,,,False,hi,devanagari,template_combinatorial,train
नेहरू पार्क से टी नगर के लिए कौन सा मार्ग अच्छा है?,route_query:best_route,NEHRU_PARK,route_query,NEHRU_PARK,NANDANAM,,,False,hi,devanagari,template_combinatorial,train
ag dms se government estate jane ke liye direct train hai kya?,route_query:direct_train,AG_DMS,route_query,AG_DMS,GOVERNMENT_ESTATE,,,False,hinglish,latin_hinglish,template_combinatorial,train
government estate se vadapalani ke liye kaun sa route best hai?,route_query:best_route,GOVERNMENT_ESTATE,route_query,GOVERNMENT_ESTATE,VADAPALANI,,,False,hinglish,latin_hinglish,template_combinatorial,train
चेन्नई सेंट्रल से वेलाचेरी के लिए सीधी मेट्रो या ट्रेन है क्या?,route_query:direct_metro,CHENNAI_CENTRAL,route_query,CHENNAI_CENTRAL,VELACHERY,,,False,hi,devanagari,template_combinatorial,train
how to reach nehru park from nandanam in chennai?,route_query:reach_english,NANDANAM,route_query,NANDANAM,NEHRU_PARK,,,False,hinglish,latin_hinglish,template_combinatorial,train
सैदापेट से सेंट थॉमस माउंट जाने के लिए सबसे तेज़ रास्ता कौन सा है?,route_query:fastest_path,SAIDAPET,route_query,SAIDAPET,ST_THOMAS_MOUNT,,,False,hi,devanagari,template_combinatorial,train
chennai airport se alandur kaise jau?,route_query:how_basic,CHENNAI_AIRPORT,route_query,CHENNAI_AIRPORT,ALANDUR,,,False,hinglish,latin_hinglish,template_combinatorial,train
how to reach shenoy nagar from nehru park in chennai?,route_query:reach_english,NEHRU_PARK,route_query,NEHRU_PARK,SHENOY_NAGAR,,,False,hinglish,latin_hinglish,template_combinatorial,train
कृपया सैदापेट से हाई कोर्ट जाने का सबसे आसान तरीका बताएं,route_query:easiest_way,SAIDAPET,route_query,SAIDAPET,HIGH_COURT,,,False,hi,devanagari,template_combinatorial,train
how to reach thousand lights from government estate in chennai?,route_query:reach_english,GOVERNMENT_ESTATE,route_query,GOVERNMENT_ESTATE,THOUSAND_LIGHTS,,,False,hinglish,latin_hinglish,template_combinatorial,train
वडापलानी से किल्पॉक के लिए सीधी मेट्रो या ट्रेन है क्या?,route_query:direct_metro,VADAPALANI,route_query,VADAPALANI,KILPAUK,,,False,hi,devanagari,template_combinatorial,train
how to reach government estate from chennai beach in chennai?,route_query:reach_english,CHENNAI_BEACH,route_query,CHENNAI_BEACH,GOVERNMENT_ESTATE,,,False,hinglish,latin_hinglish,template_combinatorial,train
vadapalani se anna nagar jane ke liye direct train hai kya?,route_query:direct_train,VADAPALANI,route_query,VADAPALANI,ANNA_NAGAR,,,False,hinglish,latin_hinglish,template_combinatorial,train
chennai central se teynampet ke liye kaun sa route best hai?,route_query:best_route,CHENNAI_CENTRAL,route_query,CHENNAI_CENTRAL,TEYNAMPET,,,False,hinglish,latin_hinglish,template_combinatorial,train
सेंट्रल रेलवे स्टेशन से एयरपोर्ट के लिए सीधी मेट्रो या ट्रेन है क्या?,route_query:direct_metro,CHENNAI_CENTRAL,route_query,CHENNAI_CENTRAL,CHENNAI_AIRPORT,,,False,hi,devanagari,template_combinatorial,train
लिटिल माउंट से एयरपोर्ट जाने के लिए क्या साधन है?,route_query:means_transport,LITTLE_MOUNT,route_query,LITTLE_MOUNT,CHENNAI_AIRPORT,,,False,hi,devanagari,template_combinatorial,train
chennai egmore to tambaram kaise pahuche?,route_query:reach_info,CHENNAI_EGMORE,route_query,CHENNAI_EGMORE,TAMBARAM,,,False,hinglish,latin_hinglish,template_combinatorial,train
हवाई अड्डा से एग्मोर का सबसे सुरक्षित रास्ता क्या है?,route_query:safe_route,CHENNAI_AIRPORT,route_query,CHENNAI_AIRPORT,CHENNAI_EGMORE,,,False,hi,devanagari,template_combinatorial,train
anna nagar se chennai airport interchange station kaun sa padega?,route_query:interchange_point,ANNA_NAGAR,route_query,ANNA_NAGAR,CHENNAI_AIRPORT,,,False,hinglish,latin_hinglish,template_combinatorial,train
एजी-डीएमएस से चेन्नई बीच कैसे पहुंच सकते हैं?,route_query:reach_info,AG_DMS,route_query,AG_DMS,CHENNAI_BEACH,,,False,hi,devanagari,template_combinatorial,train
नंदनम स्टेशन से निकलकर सैदापेट तक कैसे पहुंचें?,route_query:station_exit,NANDANAM,route_query,NANDANAM,SAIDAPET,,,False,hi,devanagari,template_combinatorial,train
t nagar se guindy interchange station kaun sa padega?,route_query:interchange_point,NANDANAM,route_query,NANDANAM,GUINDY,,,False,hinglish,latin_hinglish,template_combinatorial,train
चेन्नई एयरपोर्ट से आलंदूर के लिए सीधी मेट्रो या ट्रेन है क्या?,route_query:direct_metro,CHENNAI_AIRPORT,route_query,CHENNAI_AIRPORT,ALANDUR,,,False,hi,devanagari,template_combinatorial,train
st thomas mount se ashok nagar jane ke liye direct train hai kya?,route_query:direct_train,ST_THOMAS_MOUNT,route_query,ST_THOMAS_MOUNT,ASHOK_NAGAR,,,False,hinglish,latin_hinglish,template_combinatorial,train
ashok nagar se st thomas mount ke liye kaun sa route best hai?,route_query:best_route,ASHOK_NAGAR,route_query,ASHOK_NAGAR,ST_THOMAS_MOUNT,,,False,hinglish,latin_hinglish,template_combinatorial,train
एग्मोर से चेन्नई एयरपोर्ट जाने के लिए क्या साधन है?,route_query:means_transport,CHENNAI_EGMORE,route_query,CHENNAI_EGMORE,CHENNAI_AIRPORT,,,False,hi,devanagari,template_combinatorial,train
ashok nagar se little mount ke liye kaun sa route best hai?,route_query:best_route,ASHOK_NAGAR,route_query,ASHOK_NAGAR,LITTLE_MOUNT,,,False,hinglish,latin_hinglish,template_combinatorial,train
