annotation_id,query,taxonomy_version
ANN_B2_141,Can you recommend cheap hotels or guest houses near Chennai tambaram railway station?,T3
ANN_B2_308,central 09:15 train,T3
ANN_B2_075,अन्ना नगर में train interchange के लिए platform बदलना पड़ेगा?,T3
ANN_B2_136,Vadapalani se 10:15 pe kaunsi scheduled metro feeder hai?,T3
ANN_B2_163,please list all stops along bus route 114,T3
ANN_B2_093,Vadapalani se metro feeder din me kitni frequent hai?,T3
ANN_B2_263,chengalpattu se tambaram ke liye 0745 baje scheduled suburban_local timing kya hai,T3
ANN_B2_223,अन्ना नगर टावर से मेट्रो?,T3
ANN_B2_089,किल्पौक से एयरपोर्ट के बीच डायरेक्ट मेट्रो उपलब्ध है क्या?,T3
ANN_B2_228,19B to t naga,T3
ANN_B2_310,संट्रल पर bus क rltm gps loc trc हो रह है,T3
ANN_B2_315,How do I reach Poonamallee from Broadway by transit?,T3
ANN_B2_238,what is the schdld dprtr time from thrmnglm arnd 0900,T3
ANN_B2_094,Good South Indian vegetarian restaurants near Shenoy Nagar stn,T3
ANN_B2_096,कोयम्बेडु landmark के paas nearest metro station कहाँ है?,T3
ANN_B2_280,Pallavaram se night last metro train kitne baje tak milti hai?,T3
ANN_B2_059,बस 570 vadapalani जाएगी?,T3
ANN_B2_338,rout M1,T3
ANN_B2_214,Porur to Central multimodal route combining train and bus itnerchange,T3
ANN_B2_297,Vadapalani se Central direct metro service hai kya?,T3
ANN_B2_236,बस 114 thirumangalam जाएगी?,T3
ANN_B2_269,29C to san thom,T3
ANN_B2_274,सिरुसेरी से सेंट्रल कैसे पहुंचें,T3
ANN_B2_300,बस A1 besant nagar जाएगी?,T3
ANN_B2_065,Ist here a direct bus or train from Broadway to Poonamallee?,T3
ANN_B2_062,कोयम्बैडु से एयरपोर्ट यात्रा के लिए टोकन या कार्ड नियम क्या है,T3
ANN_B2_109,airport se morning me pehli metro line kab niklegi,T3
ANN_B2_270,Meenambakkam se Central metro se kaise jaun?,T3
ANN_B2_146,बस 21G tambaram जाएगी?,T3
ANN_B2_158,Avadi se Central ke liye 07:45 baje scheduled suburban_train timing kya hai?,T3
ANN_B2_262,anna nagar tower bus schedule or route,T3
ANN_B2_192,क्य कयमबड स्टशन पर दिव्यंगों क लिए लिफ्ट और रैंप है,T3
ANN_B2_038,Route Blue Line Airport par halt karti hai kya?,T3
ANN_B2_246,एयरपोर्ट से सुबह 8:30 बजे कौन सी metro तय है?,T3
ANN_B2_069,Chromepet to Beach route par suburban_train kitne minute ke gap me chalti hai?,T3
ANN_B2_222,chpk se vlchry ke liye sbh phl mrts_trn kab nklt hai,T3
ANN_B2_063,Central se Airport metro?,T3
ANN_B2_002,Is Velachery stn open right now,T3
ANN_B2_220,Chengalpattu se Tambaram ke liye subah pehli suburban_local kab nikalti hai?,T3
ANN_B2_017,How do I reach Beach from Chepauk by transit?,T3
ANN_B2_130,Is Tambaram station open right now?,T3
ANN_B2_101,102 to sholinganallur ,T3
ANN_B2_341,कोयम्बैडु से मेट्रो,T3
ANN_B2_147,Perungalathur से next train kab hai?,T3
ANN_B2_078,Suburban live status tracker me abhi kahan pahunchi hai?,T3
ANN_B2_265,guindy morning first,T3
ANN_B2_257,क्य चननई सटरल सटशन पर दवयग क लए लफट और सपरशनय मर्ग हं,T3
ANN_B2_001,सिरुसेरी से ब्रॉडवे का किराया कितना लगेगा?,T3
