annotation_id,taxonomy,query,reference_primary,model_primary,reference_acceptable,model_acceptable,reference_clarification,model_clarification,model_clarification_reasons,model_brief_justification,disagreement_flags,disagreement_score
ANN_B2_030,T2,क्रोमपेट से मेट्रो,route_query,,route_query|service_availability|service_timing,nearest_transport|route_query|service_availability,True,True,intent_ambiguity,"The utterance 'क्रोमपेट से मेट्रो' (Metro from Chromepet) is an underspecified fragment lacking any verb, interrogative particle, or predicate. It is semantically indeterminate between seeking transit directions from Chromepet to/via metro (route_query), locating the closest metro station from Chromepet (nearest_transport), and checking if metro service operates from Chromepet (service_availability). Because no single primary intent is semantically expressed, clarification is required due to intent ambiguity.",primary_mismatch|acceptable_set_mismatch,2
ANN_B2_032,T2,High Court bus schedule or route?,service_timing,,route_query|route_stops|service_timing,route_query|service_timing,True,True,intent_ambiguity,"The disjunctive query ('schedule or route?') presents genuine semantic ambiguity between an inquiry about timetable departure schedules (service_timing) and an inquiry about transit directions or journey routing (route_query). Because neither interpretation is definitively primary without user clarification, primary_label is set to null.",primary_mismatch|acceptable_set_mismatch,2
ANN_B2_034,T2,114 to nn ngr,route_stops,,route_stops,route_query|route_stops|service_availability|service_timing,False,True,intent_ambiguity,"The utterance '114 to nn ngr' is an underspecified telegraphic query providing only a route identifier ('114') and an abbreviated destination ('nn ngr' for Anna Nagar) without any predicate or interrogative marker. Semantically, it is indeterminate between inquiring whether route 114 stops at Anna Nagar (route_stops), requesting journey directions to Anna Nagar via route 114 (route_query), asking for departure timing/frequency (service_timing), or checking service operation (service_availability). Under Section 4.1 and 4.2 of the guidelines, genuine semantic ambiguity without an unambiguous primary intent requires primary_label to be null with clarification_required set to true.",primary_mismatch|acceptable_set_mismatch|clarification_mismatch,3
ANN_B2_035,T2,कहाँ से कोयम्बेडु जाऊं?,route_query,route_query,route_query|service_availability,route_query,True,True,missing_slot,"The user is inquiring about how/from where to travel to Koyambedu ('कहाँ से कोयम्बेडु जाऊं?'), expressing a journey planning intent (route_query). The destination is specified as Koyambedu, but the departure origin is missing, requiring clarification of the starting location.",acceptable_set_mismatch,1
ANN_B2_036,T2,Phoenix Marketcity metro se kaise pahuchein?,route_query,route_query,route_query,route_query,False,True,missing_slot,"The user is asking how to reach Phoenix Marketcity using the metro ('metro se kaise pahuchein?'), expressing a clear transit direction/journey planning intent (route_query). The intent is semantically unambiguous, but execution requires clarification because the origin location is missing.",clarification_mismatch,1
ANN_B2_037,T2,54 to kumananchavadi,route_stops,,route_stops,route_query|route_stops|service_availability,False,True,intent_ambiguity,"The utterance '54 to kumananchavadi' specifies bus route 54 and stop/locality Kumananchavadi without an operative verb or question frame. It is semantically indeterminate between a stop membership inquiry checking if bus 54 halts at Kumananchavadi (route_stops), a journey planning request to reach Kumananchavadi via route 54 (route_query), and an operational check on whether bus 54 operates to that location (service_availability).",primary_mismatch|acceptable_set_mismatch|clarification_mismatch,3
ANN_B2_039,T2,570 airport jnuction?,route_stops,route_stops,route_stops,route_query|route_stops|service_availability,False,False,,"The utterance specifies a designated bus route ('570') and an intermediate stop ('airport jnuction') with an interrogative tone, expressing a stop membership check (whether route 570 halts at Airport Junction), which aligns with 'route_stops'. 'service_availability' and 'route_query' are acceptable secondary interpretations reflecting operational service checks or journey planning to that stop.",acceptable_set_mismatch,1
ANN_B2_040,T2,कहाँ से ब्रॉडवे जाऊं?,route_query,route_query,route_query|service_availability,route_query,True,True,missing_slot,"The commuter is seeking transit/journey directions to reach Broadway ('जाऊं'), which constitutes a route inquiry ('route_query'). However, the origin location is unspecified ('कहाँ से' queries or lacks the starting point), representing an execution gap ('missing_slot') rather than an ambiguous intent.",acceptable_set_mismatch,1
ANN_B2_041,T2,How do I travel to Vandalur Zoo using public transport?,route_query,route_query,route_query,route_query,False,True,missing_slot,"The commuter is explicitly asking for transit directions and journey planning to reach a destination ('Vandalur Zoo') using public transport, which clearly maps to route_query. Because the origin location is omitted, the query exhibits execution incompleteness requiring slot elicitation (missing_slot).",clarification_mismatch,1
ANN_B2_042,T2,आवादी से मेट्रो?,route_query,,route_query|service_availability|service_timing,nearest_transport|route_query|service_availability,True,True,intent_ambiguity,"The utterance 'आवादी से मेट्रो?' ('Metro from Avadi?') is highly underspecified and lacks a verb or predicate. It can be equally interpreted as checking whether metro service exists from Avadi (service_availability), asking for route/travel guidance from Avadi via metro (route_query), or inquiring about the nearest metro station relative to Avadi (nearest_transport). In accordance with the ambiguity guidelines for verbless underspecified queries, no single primary label is defensible, requiring primary_label to be null with clarification_required set to true.",primary_mismatch|acceptable_set_mismatch,2
ANN_B2_043,T2,बस 19b adyr जएग,route_stops,route_stops,route_stops,route_stops|service_availability,False,False,,"The commuter asks in Hindi ('बस 19b adyr जएग' / 'Bus 19B Adyar jayegi?') whether designated bus route 19B goes to/serves Adyar. This is a stop membership check along a specified transit route, mapping primarily to route_stops. It secondarily admits an interpretation of verifying route service availability to that destination.",acceptable_set_mismatch,1
ANN_B2_044,T2,tmbrm to anywhr mtro,route_query,route_query,route_query|route_stops|service_availability,route_query,True,True,missing_slot,"The utterance follows the directional journey pattern '[origin] to [destination] [mode]' from Tambaram via metro, expressing a clear route_query intent. However, the destination is underspecified ('anywhr'), representing an execution incompleteness gap (missing_slot) that requires clarification before journey planning.",acceptable_set_mismatch,1
ANN_B2_045,T2,54 to giundy,route_stops,,route_stops,route_query|route_stops|service_availability,False,True,intent_ambiguity,"The query '54 to giundy' is a telegraphic fragment combining a bus route number (54) and a destination (Guindy) without any verb or question structure. It is semantically indeterminate between a stop membership inquiry ('Does bus 54 stop at Guindy?' -> route_stops), journey planning/directions ('How do I travel to Guindy via route 54?' -> route_query), and an operational check ('Is bus 54 operating to Guindy?' -> service_availability). Under Section 4.1 and 4.2 of the guidelines, genuine semantic ambiguity without a single defensible primary interpretation requires setting primary_label to null and flagging intent_ambiguity.",primary_mismatch|acceptable_set_mismatch|clarification_mismatch,3
ANN_B2_047,T2,एग्मोर से मटे्रो?,route_query,,route_query|service_availability|service_timing,route_query|service_availability,True,True,intent_ambiguity,"The utterance 'एग्मोर से मटे्रो?' ('Metro from Egmore?') is highly underspecified, containing only an origin location and transit mode without a verb or question particle. It is semantically indeterminate between a binary check on whether metro service operates from Egmore (service_availability) and a request for journey planning/directions starting from Egmore via metro (route_query). Under Section 4.1 and 4.2 of the guidelines, this represents genuine intent ambiguity requiring clarification, with primary_label set to null.",primary_mismatch|acceptable_set_mismatch,2
ANN_B2_051,T2,Shenoy Nagar bus schedule or rout,service_timing,,route_query|route_stops|service_timing,route_query|service_timing,True,True,intent_ambiguity|multiple_goals|missing_slot,"The query coordinates two distinct transit operations ('schedule' -> service_timing and 'rout' -> route_query) using disjunctive phrasing ('or'), creating intent ambiguity and multiple potential goals without a single defensible primary label. Essential operational parameters (destination or bus route number) are also missing.",primary_mismatch|acceptable_set_mismatch,2
ANN_B2_053,T2,brdwy to anywhr mtro,route_query,route_query,route_query|route_stops|service_availability,route_query,True,True,missing_slot,"The utterance expresses a journey planning inquiry from Broadway using the metro mode, but lacks a specific destination ('anywhr'), representing an execution gap (missing destination slot) rather than intent ambiguity.",acceptable_set_mismatch,1
ANN_B2_054,T2,chck hdwy and freq of dprtrs at cntrl,service_timing,service_timing,service_timing,service_timing,False,True,missing_slot,"The query asks for headway ('hdwy') and departure frequency ('freq of dprtrs') at Central station ('cntrl'), which directly concerns service frequency and timetable schedules (service_timing). As the specific route, line, or transit mode from Central is omitted, clarification is required due to missing slots.",clarification_mismatch,1
ANN_B2_056,T2,वलचर स मट्रो,route_query,,route_query|service_availability|service_timing,nearest_transport|route_query|service_availability,True,True,intent_ambiguity,"The telegraphic query 'वलचर स मट्रो' (Velachery se metro) specifies an origin and mode/destination without any verb or interrogative marker. This creates genuine semantic ambiguity between journey planning (route_query), checking whether metro service operates from Velachery (service_availability), or locating the nearest metro station (nearest_transport).",primary_mismatch|acceptable_set_mismatch,2
ANN_B2_059,T2,बस 570 vadapalani जाएगी?,route_stops,route_stops,route_stops,route_stops|service_availability,False,False,,"The commuter query asks whether bus route 570 goes to Vadapalani ('बस 570 vadapalani जाएगी?'). Under the T2 taxonomy, checking if a designated route serves a particular stop is primarily classified as a stop membership check under 'route_stops'. Secondarily, the phrasing can be interpreted as a binary operational inquiry into whether transit service operates to that destination ('service_availability').",acceptable_set_mismatch,1
ANN_B2_060,T2,guindy 8:30 sm,service_timing,,service_timing,route_query|service_availability|service_timing,False,True,intent_ambiguity,"The utterance 'guindy 8:30 sm' is an underspecified keyword fragment comprising a location ('guindy'), a timestamp ('8:30'), and an abbreviated/ambiguous token ('sm', potentially denoting 'am' or 'suburban'). Lacking any grammatical predicate, verb, or question framing, the query is semantically indeterminate between seeking departure timetable information (service_timing), checking whether a service operates at that time (service_availability), or requesting journey directions from Guindy (route_query). Per Section 4.2 of the guidelines, this exhibits genuine intent_ambiguity with no single defensible primary label.",primary_mismatch|acceptable_set_mismatch|clarification_mismatch,3
ANN_B2_061,T2,rt 5b,route_stops,,route_stops|service_availability|service_timing,route_query|route_stops|service_availability|service_timing,True,True,intent_ambiguity,"The utterance 'rt 5b' provides only an abbreviated route identifier ('route 5B') without an operational verb or predicate. It is genuinely ambiguous among requesting intermediate stops along the route (route_stops), the route path/journey (route_query), timetable/frequency information (service_timing), or whether the route is currently operating (service_availability).",primary_mismatch|acceptable_set_mismatch,2
ANN_B2_063,T2,Central se Airport metro?,route_query,,fare_query|route_query|service_availability|service_timing,route_query|service_availability,True,True,intent_ambiguity,"The utterance 'Central se Airport metro?' specifies an origin ('Central'), destination ('Airport'), and transit mode ('metro'), but lacks an interrogative predicate or verb. It is genuinely ambiguous between an inquiry checking whether metro service operates between these locations ('service_availability') and a request for journey planning/transit directions ('route_query'). Because neither interpretation is semantically dominant, primary_label is null with clarification required.",primary_mismatch|acceptable_set_mismatch,2
ANN_B2_064,T2,Is Alandur station open right nwo?,service_availability,realtime_status_query,service_availability|service_timing,realtime_status_query|service_availability,True,False,,"The query explicitly seeks current-state dynamic operational status ('right now') regarding whether Alandur station is currently open, which aligns primarily with realtime_status_query, with service_availability as a plausible secondary interpretation regarding whether the station is operational.",primary_mismatch|acceptable_set_mismatch|clarification_mismatch,3
ANN_B2_066,T2,is thr a drct bus or trn from prmbr to gndy,service_availability,service_availability,service_availability,route_query|service_availability,False,False,,"The query is an existential/binary inquiry checking whether direct bus or train service operates between Perambur (prmbr) and Guindy (gndy). Under Rule 3.1, binary inquiries checking whether service exists or operates between points are classified primarily as service_availability, with route_query accepted as a secondary journey-planning interpretation.",acceptable_set_mismatch,1
ANN_B2_071,T2,Is there a direct bus or train from Mylapore to Velachery?,service_availability,service_availability,service_availability,route_query|service_availability,False,False,,"The user presents a binary existential inquiry asking whether direct transit service (bus or train) exists between Mylapore and Velachery. Under Rule 3.1, binary checks of service existence on a corridor are primarily classified as service_availability, with route_query as an acceptable secondary interpretation.",acceptable_set_mismatch,1
ANN_B2_078,T2,Suburban live status tracker me abhi kahan pahunchi hai?,realtime_status_query,realtime_status_query,realtime_status_query,realtime_status_query,False,True,missing_slot,"The commuter query explicitly asks for live, real-time vehicle tracking ('abhi kahan pahunchi hai' via 'live status tracker'), which maps unambiguously to realtime_status_query. Because the specific train number, line, or origin-destination slot is not provided, clarification is needed to execute the query.",clarification_mismatch,1
ANN_B2_080,T2,570 gndy jnctn,route_stops,,route_stops,route_query|route_stops|service_timing,False,True,intent_ambiguity,"The utterance '570 gndy jnctn' consists solely of a bus route identifier ('570') and a transit stop/location ('Guindy Junction') with no verbs, prepositions, or syntactic indicators. It is genuinely indeterminate whether the commuter is verifying if the route halts at the stop (route_stops), inquiring about timetable schedules/frequency at the junction (service_timing), or seeking journey planning (route_query). Under Section 4.1 and 4.2 guidelines, genuine intent ambiguity requires setting primary_label to null and requesting clarification.",primary_mismatch|acceptable_set_mismatch|clarification_mismatch,3
ANN_B2_084,T2,Is Egmore station open right nwo?,service_availability,service_availability,service_availability|service_timing,realtime_status_query|service_availability|service_timing,True,False,,"The query is a binary operational inquiry asking whether Egmore station is currently open and operational for transit service, which maps primarily to service_availability. It also admits secondary interpretations as realtime_status_query (inquiring about current live/dynamic operational status) or service_timing (checking whether the current time falls within scheduled station operating hours).",acceptable_set_mismatch|clarification_mismatch,2
ANN_B2_086,T2,tambaram local 20:00,service_timing,,service_timing,route_query|service_availability|service_timing,False,True,intent_ambiguity,"The keyword-only query specifies a transit mode/destination ('tambaram local') and a time ('20:00') without an explicit verb or question frame. As detailed in Section 4.2 of the guidelines, such underspecified utterances are semantically indeterminate between checking timetable schedule information (service_timing), checking whether a service operates at that time (service_availability), and journey planning (route_query), creating genuine intent ambiguity that precludes a single primary label.",primary_mismatch|acceptable_set_mismatch|clarification_mismatch,3
ANN_B2_088,T2,airport 8:30 am,service_timing,,service_timing,route_query|service_availability|service_timing,False,True,intent_ambiguity,"The utterance 'airport 8:30 am' contains only a location entity and a timestamp without any verb, question frame, or syntactic context. Under Section 4.2 of the guidelines, such underspecified queries exhibit genuine semantic ambiguity between timetable lookup (service_timing), route/journey planning (route_query), and checking whether transit operates at that time (service_availability), meaning no single primary label is defensible.",primary_mismatch|acceptable_set_mismatch|clarification_mismatch,3
ANN_B2_090,T2,Koyambedu से next train kab hai?,service_timing,service_timing,service_availability|service_timing,service_timing,True,True,missing_slot,"The commuter is asking for schedule/departure timing ('next train kab hai') from Koyambedu, which falls under service_timing. Temporal expressions alone do not imply realtime_status_query under Section 3.4. However, the destination or travel direction from Koyambedu is omitted, constituting a missing_slot.",acceptable_set_mismatch,1
ANN_B2_091,T2,क्या सीएमबीटी से एयरपोर्ट यात्रा पर स्मार्ट कार्ड से डिस्काउंट मिलता है?,ticketing_rules,ticketing_rules,ticketing_rules,fare_query|ticketing_rules,False,False,,"The query asks whether a smart card discount applies to travel between CMBT and Airport, which concerns fare policies and concession rules (ticketing_rules), with fare_query as a plausible secondary interpretation due to its relevance to trip fare calculation.",acceptable_set_mismatch,1
ANN_B2_095,T2,egmore bus schedule or route,service_timing,,route_query|route_stops|service_timing,route_query|service_timing,True,True,intent_ambiguity|multiple_goals,"The commuter query explicitly combines two separate functional requests via a disjunction ('schedule or route'): timetable information ('service_timing') and journey/route planning ('route_query'). Since neither interpretation takes precedence, no single primary label is defensible.",primary_mismatch|acceptable_set_mismatch,2
ANN_B2_097,T2,guindy midnight train,service_timing,,service_timing,route_query|service_availability|service_timing,False,True,intent_ambiguity,"The keyword utterance 'guindy midnight train' specifies a station, time window, and transit mode without an operative verb or relational syntax. As explicitly illustrated in Section 4.2 of the annotation guide, such underspecified time-and-transit expressions exhibit genuine intent ambiguity among checking timetable/schedule information (service_timing), checking whether services operate at that hour (service_availability), or seeking journey/route guidance (route_query).",primary_mismatch|acceptable_set_mismatch|clarification_mismatch,3
ANN_B2_098,T2,Koyambedu to anywhere metro?,route_query,,route_query|route_stops|service_availability,route_query|service_availability,True,True,intent_ambiguity|missing_slot,"The utterance 'Koyambedu to anywhere metro?' lacks an explicit verb or intent indicator, creating genuine semantic ambiguity. It can be interpreted as an existential inquiry checking whether metro service operates from Koyambedu to anywhere ('service_availability'), or as a journey planning request from Koyambedu with an open-ended/unspecified destination ('route_query' with 'missing_slot'). Because neither interpretation strictly dominates, no single primary label is defensible.",primary_mismatch|acceptable_set_mismatch,2
ANN_B2_099,T2,Koyambedu se Alandur badalna kahan padega?,interchange_query,route_query,interchange_query,interchange_query|route_query,False,False,,"The utterance inquires where a commuter must change/transfer during a trip between origin 'Koyambedu' and destination 'Alandur'. Under Section 3.2, cross-town travel inquiries between an origin and destination are classified as route_query, while interchange_query is included as an acceptable secondary interpretation due to the explicit focus on interchange/transfer requirements.",primary_mismatch|acceptable_set_mismatch,2
ANN_B2_100,T2,बस 114 anna nagar जाएगी?,route_stops,route_stops,route_stops,route_stops|service_availability,False,False,,"The query asks whether designated bus route 114 goes to Anna Nagar, functioning primarily as a stop membership check along a specified route (route_stops), with a plausible secondary interpretation of verifying service availability to that destination (service_availability).",acceptable_set_mismatch,1
ANN_B2_101,T2,102 to sholinganallur ,route_stops,,route_stops,route_query|route_stops|service_availability|service_timing,False,True,intent_ambiguity,"The utterance consists solely of a route identifier ('102') and a destination ('to sholinganallur') with no verb or grammatical intent marker. It is genuinely ambiguous among checking whether route 102 stops at Sholinganallur (route_stops), seeking journey planning/directions (route_query), asking for schedule/departure times (service_timing), or checking operational availability (service_availability).",primary_mismatch|acceptable_set_mismatch|clarification_mismatch,3
ANN_B2_102,T2,बस 19B t nagar जएागी?,route_stops,route_stops,route_stops,route_stops|service_availability,False,False,,"The query asks whether designated bus route 19B serves or halts at T Nagar ('बस 19B t nagar जाएगी?'), which represents a stop membership check along a specified route (route_stops). A secondary interpretation may consider whether service operations run to that location (service_availability).",acceptable_set_mismatch,1
ANN_B2_103,T2,Anna Nagar se Central?,route_query,route_query,fare_query|interchange_query|route_query|service_availability,route_query|service_availability,True,False,,"The commuter specifies an origin ('Anna Nagar se' meaning 'from Anna Nagar') and destination ('Central') in an elliptical interrogative form, which conventionally expresses a journey planning request between two transit points (route_query). A secondary interpretation of checking transit availability between the two points is also plausible.",acceptable_set_mismatch|clarification_mismatch,2
ANN_B2_107,T2,54 to broadwa,route_stops,,route_stops,route_query|route_stops|service_availability|service_timing,False,True,intent_ambiguity,"The query '54 to broadwa' is a telegraphic phrase specifying a bus service number and destination without any communicative verb or question particle. It exhibits genuine intent ambiguity, as it could plausibly be requesting journey directions (route_query), intermediate stops (route_stops), departure schedule (service_timing), or operational confirmation (service_availability).",primary_mismatch|acceptable_set_mismatch|clarification_mismatch,3
ANN_B2_112,T2,is thiruvanmiyur station open right now,service_availability,service_availability,service_availability|service_timing,realtime_status_query|service_availability|service_timing,True,False,,"The user is making a binary operational inquiry regarding whether Thiruvanmiyur station is currently open and operating, which corresponds directly to service_availability. It can secondarily relate to timetable operating hours (service_timing) or live operational status (realtime_status_query).",acceptable_set_mismatch|clarification_mismatch,2
ANN_B2_113,T2,Route 70V?,route_stops,,route_stops|service_availability|service_timing,route_query|route_stops|service_availability|service_timing,True,True,intent_ambiguity,"The utterance consists solely of a route number ('Route 70V?') without an action verb or question frame. It is semantically indeterminate among asking for intermediate stops/path (route_stops/route_query), operational availability (service_availability), or schedule/timings (service_timing).",primary_mismatch|acceptable_set_mismatch,2
ANN_B2_114,T2,Route D70?,route_stops,,route_stops|service_availability|service_timing,route_query|route_stops|service_availability|service_timing,True,True,intent_ambiguity,"The utterance 'Route D70?' contains only a bus route identifier and a question mark with no action, predicate, or question word. It is semantically indeterminate among asking for intermediate stops or itinerary (route_stops/route_query), checking whether the service is currently operating (service_availability), or asking for scheduled departure times (service_timing).",primary_mismatch|acceptable_set_mismatch,2
ANN_B2_115,T2,बस 21g broadway जाएगी,route_stops,route_stops,route_stops,route_stops|service_availability,False,False,,"The commuter query asks whether bus route 21G serves Broadway ('बस 21g broadway जाएगी'), which functions primarily as a stop membership inquiry along a designated route (route_stops). Secondarily, it can be interpreted as a binary check on whether 21G service operates to that terminus/corridor (service_availability).",acceptable_set_mismatch,1
ANN_B2_118,T2,कयमबड स सुबह 830 बज कौन स bus तय है,service_timing,service_timing,service_timing,route_query|service_timing,False,True,missing_slot,"The commuter is asking which bus is scheduled to depart from Koyambedu at 8:30 AM ('subah 8:30 baje kaun si bus tay hai'), which directly requests scheduled departure timetable information (service_timing). However, because no destination is provided to pinpoint the specific bus service or route for journey planning, the query lacks a destination slot (missing_slot), making route_query a plausible secondary interpretation.",acceptable_set_mismatch|clarification_mismatch,2
ANN_B2_120,T2,Where should I interchange betwin Broadway and Poonamallee,interchange_query,route_query,interchange_query,interchange_query|route_query,False,False,,"The commuter is inquiring about journey planning between an origin (Broadway) and destination (Poonamallee) across town to determine the transfer point, which constitutes a route_query under Rule 3.2. Because the user explicitly asks where to execute an interchange, interchange_query is included as an acceptable secondary label.",primary_mismatch|acceptable_set_mismatch,2
ANN_B2_127,T2,Green line metro halts from anna nagar to St Thomas Mount?,route_stops,route_stops,route_stops,route_query|route_stops,False,False,,"The user explicitly inquires about the 'halts' (intermediate station stops) along the Green Line metro between Anna Nagar and St Thomas Mount, making route_stops the primary intent. Because it specifies an origin and destination corridor, route_query is also a valid secondary interpretation.",acceptable_set_mismatch,1
ANN_B2_130,T2,Is Tambaram station open right now?,service_availability,service_availability,service_availability|service_timing,realtime_status_query|service_availability|station_facilities,True,False,,"The utterance is a binary operational inquiry asking whether Tambaram station is currently open and operating for transit service, which directly aligns with service_availability. The phrase 'right now' admits secondary interpretations regarding live disruption/current-state status (realtime_status_query) or physical station infrastructure accessibility (station_facilities).",acceptable_set_mismatch|clarification_mismatch,2
