utterance_id,semantic_scenario_id,contrast_group_id,semantic_family_id,family_id,paraphrase_group_id,query,clean_query,language_class,language,script,code_switch_level,noise_level,noise_type,semantic_operation,semantic_subtype,T2_label,T3_label,slots_json,canonical_entities_json,answerability_status,ambiguity_type,clarification_required,acceptable_secondary_labels,generation_method,author_source,human_reviewed,review_status
GB1_00024,HB_INTERCHANGE_TRANSFER_86133,CG_ROUTE_AVAIL_XFER_008,xfer_location_ask,xfer_location_ask_hi_deva,PG_xfer_location_ask_hi_deva,किल्पौक से एयरपोर्ट जाते वक्त ट्रेन कहाँ बदलनी पड़ती है?,किल्पौक से एयरपोर्ट जाते वक्त ट्रेन कहाँ बदलनी पड़ती है?,HI_DEVA,hi,Deva,CS0,N0,clean,GET_INTERCHANGE_DETAILS,interchange,interchange_query,interchange_transfer,{},[],ANSWERABLE_AFTER_MANUAL_VERIFICATION,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00025,HB_POINT_TO_POINT_ROUTE_09575,CG_ROUTE_AVAIL_XFER_009,p2p_direct_inquiry,p2p_direct_inquiry_hi_latn,PG_p2p_direct_inquiry_hi_latn,Vadapalani se Central metro se kaise juan?,Vadapalani se Central metro se kaise jaun?,HI_LATN,hi,Latn,CS2,N3,keyboard_adjacent_typo,PLAN_ROUTE,point_to_point,route_query,point_to_point_route,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00026,HB_MODE_AVAILABILITY_86242,CG_ROUTE_AVAIL_XFER_009,avail_direct_check,avail_direct_check_hinglish_latn,PG_avail_direct_check_hinglish_latn,Vadapalani se Central direct metro service hai kya?,Vadapalani se Central direct metro service hai kya?,HINGLISH_LATN,hi,Latn,CS3,N0,clean,CHECK_SERVICE_AVAILABILITY,availability,service_availability,mode_availability,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00027,HB_INTERCHANGE_TRANSFER_98796,CG_ROUTE_AVAIL_XFER_009,xfer_location_ask,xfer_location_ask_hinglish_latn,PG_xfer_location_ask_hinglish_latn,vdpln to cntrl rt me ln chng khn krn hg,Vadapalani to Central route me line change kahan karni hogi?,HINGLISH_LATN,hi,Latn,CS3,N5,commuter_sms_chat_shorthand,GET_INTERCHANGE_DETAILS,interchange,interchange_query,interchange_transfer,{},[],ANSWERABLE_AFTER_MANUAL_VERIFICATION,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00028,HB_POINT_TO_POINT_ROUTE_78066,CG_ROUTE_AVAIL_XFER_010,p2p_direct_inquiry,p2p_direct_inquiry_en,PG_p2p_direct_inquiry_en,How can I travel from High Court to St Thomas Mount by mtro,How can I travel from High Court to St. Thomas Mount by metro?,EN,en,Latn,CS0,N2,phonetic_transliteration_misspelling,PLAN_ROUTE,point_to_point,route_query,point_to_point_route,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00029,HB_MODE_AVAILABILITY_11733,CG_ROUTE_AVAIL_XFER_010,avail_direct_check,avail_direct_check_en,PG_avail_direct_check_en,Is there a direct metro train between High Court and St. Thomas Mount?,Is there a direct metro train between High Court and St. Thomas Mount?,EN,en,Latn,CS0,N0,clean,CHECK_SERVICE_AVAILABILITY,availability,service_availability,mode_availability,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00030,HB_INTERCHANGE_TRANSFER_03794,CG_ROUTE_AVAIL_XFER_010,xfer_location_ask,xfer_location_ask_en,PG_xfer_location_ask_en,whr do i nd to chng lns whn trvlng frm hgh crt to st thms mnt,Where do I need to change lines when traveling from High Court to St. Thomas Mount?,EN,en,Latn,CS0,N5,commuter_sms_chat_shorthand,GET_INTERCHANGE_DETAILS,interchange,interchange_query,interchange_transfer,{},[],ANSWERABLE_AFTER_MANUAL_VERIFICATION,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00031,HB_POINT_TO_POINT_ROUTE_46350,CG_ROUTE_AVAIL_XFER_011,p2p_direct_inquiry,p2p_direct_inquiry_hi_deva,PG_p2p_direct_inquiry_hi_deva,शेनॉय नगर से एयरपोर्ट मेट्रो से कैसे जाएं,शेनॉय नगर से एयरपोर्ट मेट्रो से कैसे जाएं?,HI_DEVA,hi,Deva,CS0,N1,casing_and_punctuation_normalization,PLAN_ROUTE,point_to_point,route_query,point_to_point_route,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00032,HB_MODE_AVAILABILITY_18270,CG_ROUTE_AVAIL_XFER_011,avail_direct_check,avail_direct_check_hi_deva,PG_avail_direct_check_hi_deva,शेनॉय नगर से एयरपोर्ट के बिच डायरेक्ट मेट्रो उपलब्ध है क्या,शेनॉय नगर से एयरपोर्ट के बीच डायरेक्ट मेट्रो उपलब्ध है क्या?,HI_DEVA,hi,Deva,CS0,N2,phonetic_transliteration_misspelling,CHECK_SERVICE_AVAILABILITY,availability,service_availability,mode_availability,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00033,HB_INTERCHANGE_TRANSFER_30159,CG_ROUTE_AVAIL_XFER_011,xfer_location_ask,xfer_location_ask_hi_deva,PG_xfer_location_ask_hi_deva,शेनॉय नगर से एयरपोर्ट जाते वक्त ट्रेन कहाँ बदलनि पड़ती है,शेनॉय नगर से एयरपोर्ट जाते वक्त ट्रेन कहाँ बदलनी पड़ती है?,HI_DEVA,hi,Deva,CS0,N2,phonetic_transliteration_misspelling,GET_INTERCHANGE_DETAILS,interchange,interchange_query,interchange_transfer,{},[],ANSWERABLE_AFTER_MANUAL_VERIFICATION,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00034,HB_POINT_TO_POINT_ROUTE_43824,CG_ROUTE_AVAIL_XFER_012,p2p_direct_inquiry,p2p_direct_inquiry_hi_latn,PG_p2p_direct_inquiry_hi_latn,Meenambakkam se Central metro se kaise jaun?,Meenambakkam se Central metro se kaise jaun?,HI_LATN,hi,Latn,CS2,N0,clean,PLAN_ROUTE,point_to_point,route_query,point_to_point_route,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00035,HB_MODE_AVAILABILITY_81332,CG_ROUTE_AVAIL_XFER_012,avail_direct_check,avail_direct_check_hinglish_latn,PG_avail_direct_check_hinglish_latn,Meenambakkam se Central direct metro service hai kya?,Meenambakkam se Central direct metro service hai kya?,HINGLISH_LATN,hi,Latn,CS3,N0,clean,CHECK_SERVICE_AVAILABILITY,availability,service_availability,mode_availability,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00036,HB_INTERCHANGE_TRANSFER_69966,CG_ROUTE_AVAIL_XFER_012,xfer_location_ask,xfer_location_ask_hinglish_latn,PG_xfer_location_ask_hinglish_latn,Meenambakkam to Central route me line change kha karni hogi,Meenambakkam to Central route me line change kahan karni hogi?,HINGLISH_LATN,hi,Latn,CS3,N2,phonetic_transliteration_misspelling,GET_INTERCHANGE_DETAILS,interchange,interchange_query,interchange_transfer,{},[],ANSWERABLE_AFTER_MANUAL_VERIFICATION,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00037,HB_ROUTE_STOP_SEQUENCE_85816,CG_SEQ_MEMB_001,seq_all_stops,seq_all_stops_en,PG_seq_all_stops_en,Please list all stops along bus route 21G,Please list all stops along bus route 21G,EN,en,Latn,CS0,N0,clean,LIST_ROUTE_STOPS,sequence,route_stops,route_stop_sequence,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00038,HB_ROUTE_STOP_MEMBERSHIP_09042,CG_SEQ_MEMB_001,memb_check_stop,memb_check_stop_en,PG_memb_check_stop_en,Does route 21G halt at Guindy?,Does route 21G halt at Guindy?,EN,en,Latn,CS0,N0,clean,CHECK_STOP_ON_ROUTE,membership,route_stops,route_stop_membership,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00039,HB_ROUTE_STOP_SEQUENCE_03810,CG_SEQ_MEMB_002,seq_all_stops,seq_all_stops_hi_deva,PG_seq_all_stops_hi_deva,102 के सारे स्टॉप्स की लिस्ट बताएं,102 के सारे स्टॉप्स की लिस्ट बताएं,HI_DEVA,hi,Deva,CS0,N0,clean,LIST_ROUTE_STOPS,sequence,route_stops,route_stop_sequence,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00040,HB_ROUTE_STOP_MEMBERSHIP_82097,CG_SEQ_MEMB_002,memb_check_stop,memb_check_stop_hi_deva,PG_memb_check_stop_hi_deva,क्य 102 बस अडयर डप पर रुकत ह,क्या 102 बस अडयार डिपो पर रुकती है?,HI_DEVA,hi,Deva,CS0,N5,commuter_sms_chat_shorthand,CHECK_STOP_ON_ROUTE,membership,route_stops,route_stop_membership,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00041,HB_ROUTE_STOP_SEQUENCE_67070,CG_SEQ_MEMB_003,seq_all_stops,seq_all_stops_hinglish_latn,PG_seq_all_stops_hinglish_latn,570 rout ke complete stops dikhao,570 route ke complete stops dikhao,HINGLISH_LATN,hi,Latn,CS2,N2,phonetic_transliteration_misspelling,LIST_ROUTE_STOPS,sequence,route_stops,route_stop_sequence,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00042,HB_ROUTE_STOP_MEMBERSHIP_97353,CG_SEQ_MEMB_003,memb_check_stop,memb_check_stop_hi_latn,PG_memb_check_stop_hi_latn,570 siruseri it park rukegi kya bhai,570 Siruseri IT Park rukegi kya bhai?,HI_LATN,hi,Latn,CS2,N1,casing_and_punctuation_normalization,CHECK_STOP_ON_ROUTE,membership,route_stops,route_stop_membership,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00043,HB_ROUTE_STOP_SEQUENCE_39257,CG_SEQ_MEMB_004,seq_all_stops,seq_all_stops_en,PG_seq_all_stops_en,please list all stops along bus route 114,Please list all stops along bus route 114,EN,en,Latn,CS0,N1,casing_and_punctuation_normalization,LIST_ROUTE_STOPS,sequence,route_stops,route_stop_sequence,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00044,HB_ROUTE_STOP_MEMBERSHIP_65952,CG_SEQ_MEMB_004,memb_check_stop,memb_check_stop_en,PG_memb_check_stop_en,does route 114 halt at red hills,Does route 114 halt at Red Hills?,EN,en,Latn,CS0,N1,casing_and_punctuation_normalization,CHECK_STOP_ON_ROUTE,membership,route_stops,route_stop_membership,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00045,HB_ROUTE_STOP_SEQUENCE_51450,CG_SEQ_MEMB_005,seq_all_stops,seq_all_stops_hi_deva,PG_seq_all_stops_hi_deva,29c के सारे स्टॉप्स की लिस्ट बताएं,29C के सारे स्टॉप्स की लिस्ट बताएं,HI_DEVA,hi,Deva,CS0,N1,casing_and_punctuation_normalization,LIST_ROUTE_STOPS,sequence,route_stops,route_stop_sequence,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00046,HB_ROUTE_STOP_MEMBERSHIP_58643,CG_SEQ_MEMB_005,memb_check_stop,memb_check_stop_hi_deva,PG_memb_check_stop_hi_deva,क्या 29C बस मायलापुर टैंक पर रुकती है?,क्या 29C बस मायलापुर टैंक पर रुकती है?,HI_DEVA,hi,Deva,CS0,N0,clean,CHECK_STOP_ON_ROUTE,membership,route_stops,route_stop_membership,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00047,HB_ROUTE_STOP_SEQUENCE_33323,CG_SEQ_MEMB_006,seq_all_stops,seq_all_stops_hinglish_latn,PG_seq_all_stops_hinglish_latn,54 route ke complete stops dikhao,54 route ke complete stops dikhao,HINGLISH_LATN,hi,Latn,CS2,N0,clean,LIST_ROUTE_STOPS,sequence,route_stops,route_stop_sequence,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00048,HB_ROUTE_STOP_MEMBERSHIP_13978,CG_SEQ_MEMB_006,memb_check_stop,memb_check_stop_hi_latn,PG_memb_check_stop_hi_latn,54 Porur rukegi kya bahi?,54 Porur rukegi kya bhai?,HI_LATN,hi,Latn,CS2,N3,keyboard_adjacent_typo,CHECK_STOP_ON_ROUTE,membership,route_stops,route_stop_membership,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00049,HB_ROUTE_STOP_SEQUENCE_91112,CG_SEQ_MEMB_007,seq_all_stops,seq_all_stops_en,PG_seq_all_stops_en,Please list all stops along bus route A1,Please list all stops along bus route A1,EN,en,Latn,CS0,N0,clean,LIST_ROUTE_STOPS,sequence,route_stops,route_stop_sequence,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00050,HB_ROUTE_STOP_MEMBERSHIP_59753,CG_SEQ_MEMB_007,memb_check_stop,memb_check_stop_en,PG_memb_check_stop_en,does route a1 halt at thiruvanmiyur,Does route A1 halt at Thiruvanmiyur?,EN,en,Latn,CS0,N1,casing_and_punctuation_normalization,CHECK_STOP_ON_ROUTE,membership,route_stops,route_stop_membership,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
GB1_00051,HB_ROUTE_STOP_SEQUENCE_24939,CG_SEQ_MEMB_008,seq_all_stops,seq_all_stops_hi_deva,PG_seq_all_stops_hi_deva,19B के सारे स्टॉप्स की लिस्ट बताएं,19B के सारे स्टॉप्स की लिस्ट बताएं,HI_DEVA,hi,Deva,CS0,N0,clean,LIST_ROUTE_STOPS,sequence,route_stops,route_stop_sequence,{},[],ANSWERABLE_WITH_PROVISIONAL_DATA,none,False,[],grounded_template_instantiation,grounded_minimal_pair,True,approved
