annotation_id,utterance_id,query,T2_reviewer_1,T2_reviewer_2,T3_reviewer_1,T3_reviewer_2,reviewer_1_clarification_required,reviewer_2_clarification_required,reviewer_1_notes,reviewer_2_notes
ANN_B2_060,GB1_00743,guindy 8:30 sm,,,,,,,,
ANN_B2_061,GB1_00590,rt 5b,,,,,,,,
ANN_B2_062,GB1_00266,कोयम्बैडु से एयरपोर्ट यात्रा के लिए टोकन या कार्ड नियम क्या है,,,,,,,,
ANN_B2_063,GB1_00434,Central se Airport metro?,,,,,,,,
ANN_B2_064,GB1_00626,Is Alandur station open right nwo?,,,,,,,,
ANN_B2_065,GB1_00411,Ist here a direct bus or train from Broadway to Poonamallee?,,,,,,,,
ANN_B2_066,GB1_00426,is thr a drct bus or trn from prmbr to gndy,,,,,,,,
ANN_B2_067,GB1_00292,Nehru Park station wheelchair ramp aur tactile path available?,,,,,,,,
ANN_B2_068,GB1_00025,Vadapalani se Central metro se kaise juan?,,,,,,,,
ANN_B2_069,GB1_00360,Chromepet to Beach route par suburban_train kitne minute ke gap me chalti hai?,,,,,,,,
ANN_B2_070,GB1_01025,iit madras campus se phoenix mall jane ke liye transit route kya hai,,,,,,,,
ANN_B2_071,GB1_00405,Is there a direct bus or train from Mylapore to Velachery?,,,,,,,,
ANN_B2_072,GB1_00080,How frequently do metro services run from Egmore during the day?,,,,,,,,
ANN_B2_073,GB1_00150,सीएमबीटी आने वाली 570 अभी लाइव कहाँ पहुंची है?,,,,,,,,
ANN_B2_074,GB1_00028,How can I travel from High Court to St Thomas Mount by mtro,,,,,,,,
ANN_B2_075,GB1_02447,अन्ना नगर में train interchange के लिए platform बदलना पड़ेगा?,,,,,,,,
ANN_B2_076,GB1_00274,एगमर स चननई सटरल यत्र क लए टकन य कर्ड नयम क्य ह,,,,,,,,
ANN_B2_077,GB1_00270,ब्रॉडवे से अडयार यात्रा के लिए टोकन या कार्ड नियम क्या है?,,,,,,,,
ANN_B2_078,GB1_00338,Suburban live status tracker me abhi kahan pahunchi hai?,,,,,,,,
ANN_B2_079,GB1_00210,Does 570 stop at Guindy?,,,,,,,,
ANN_B2_080,GB1_00722,570 gndy jnctn,,,,,,,,
ANN_B2_081,GB1_00209,Bus 570 stops sequence pelase,,,,,,,,
ANN_B2_082,GB1_00380,thirumayilai se beach ke liye subah pehli mrts_train kab nikalti hai,,,,,,,,
ANN_B2_083,GB1_00046,क्या 29C बस मायलापुर टैंक पर रुकती है?,,,,,,,,
ANN_B2_084,GB1_00602,Is Egmore station open right nwo?,,,,,,,,
ANN_B2_085,GB1_00004,गिंड स कयमबड मट्रो स कैस जएं,,,,,,,,
ANN_B2_086,GB1_00970,tambaram local 20:00,,,,,,,,
ANN_B2_087,GB1_00052,क्या 19B बस कलमबाक्कम पर रुकती ह?ै,,,,,,,,
ANN_B2_088,GB1_00742,airport 8:30 am,,,,,,,,
ANN_B2_089,GB1_00023,किल्पौक से एयरपोर्ट के बीच डायरेक्ट मेट्रो उपलब्ध है क्या?,,,,,,,,
ANN_B2_090,GB1_00618,Koyambedu से next train kab hai?,,,,,,,,
ANN_B2_091,GB1_00100,क्या सीएमबीटी से एयरपोर्ट यात्रा पर स्मार्ट कार्ड से डिस्काउंट मिलता है?,,,,,,,,
ANN_B2_092,GB1_00008,Alandur se Egmore direct metro service hai kya?,,,,,,,,
ANN_B2_093,GB1_00254,Vadapalani se metro feeder din me kitni frequent hai?,,,,,,,,
ANN_B2_094,GB1_01481,Good South Indian vegetarian restaurants near Shenoy Nagar stn,,,,,,,,
ANN_B2_095,GB1_00514,egmore bus schedule or route,,,,,,,,
ANN_B2_096,GB1_02398,कोयम्बेडु landmark के paas nearest metro station कहाँ है?,,,,,,,,
ANN_B2_097,GB1_00733,guindy midnight train,,,,,,,,
ANN_B2_098,GB1_00622,Koyambedu to anywhere metro?,,,,,,,,
ANN_B2_099,GB1_00187,Koyambedu se Alandur badalna kahan padega?,,,,,,,,
ANN_B2_100,GB1_00815,बस 114 anna nagar जाएगी?,,,,,,,,
ANN_B2_101,GB1_00843,102 to sholinganallur ,,,,,,,,
ANN_B2_102,GB1_00892,बस 19B t nagar जएागी?,,,,,,,,
ANN_B2_103,GB1_00443,Anna Nagar se Central?,,,,,,,,
ANN_B2_104,GB1_00369,avd to cntrl rt par sbrbn_trn ktn mnt ke gap me chlt hai,,,,,,,,
ANN_B2_105,GB1_00379,Chepauk se Velachery ke liye 07:45 baje scheduled mrts_train timing kya hia?,,,,,,,,
ANN_B2_106,GB1_00145,चेपॉक से आईआईटी मद्रास कैसे पहुंचें?,,,,,,,,
ANN_B2_107,GB1_00873,54 to broadwa,,,,,,,,
ANN_B2_108,GB1_00146,चपॉक स आईआईट मदरस जन क लए बस और मट्रो दन क सयकत रट बतएं,,,,,,,,
ANN_B2_109,GB1_00244,airport se morning me pehli metro line kab niklegi,,,,,,,,
ANN_B2_110,GB1_01159,Tambaram to Beach local train second class fare amount?,,,,,,,,
ANN_B2_111,GB1_00047,54 route ke complete stops dikhao,,,,,,,,
ANN_B2_112,GB1_00650,is thiruvanmiyur station open right now,,,,,,,,
ANN_B2_113,GB1_00574,Route 70V?,,,,,,,,
ANN_B2_114,GB1_00570,Route D70?,,,,,,,,
ANN_B2_115,GB1_00834,बस 21g broadway जाएगी,,,,,,,,
ANN_B2_116,GB1_00275,अन्न नगर टवर स एयरपरट क किरय कितन लगग,,,,,,,,
ANN_B2_117,GB1_00721,102 sholinganallur stop?,,,,,,,,
ANN_B2_118,GB1_00075,कयमबड स सुबह 830 बज कौन स bus तय है,,,,,,,,
ANN_B2_119,GB1_00081,Which metro is scheduled to leave Egmore around 8:15 AM?,,,,,,,,
ANN_B2_120,GB1_00412,Where should I interchange betwin Broadway and Poonamallee,,,,,,,,
ANN_B2_121,GB1_00327,A1 ka official schedule timetable kya hai Thiruvanmiyur par?,,,,,,,,
ANN_B2_122,GB1_00399,Guindy to Tambaram route par suburban_rail kitne minute ke gap me chalti hai?,,,,,,,,
ANN_B2_123,GB1_00050,does route a1 halt at thiruvanmiyur,,,,,,,,
ANN_B2_124,GB1_00037,Please list all stops along bus route 21G,,,,,,,,
ANN_B2_125,GB1_00141,red hills se guindy jane ka rasta batao,,,,,,,,
ANN_B2_126,GB1_00238,Egmore se morning me pehli suburban train kab niklegi?,,,,,,,,
ANN_B2_127,GB1_01084,Green line metro halts from anna nagar to St Thomas Mount?,,,,,,,,
ANN_B2_128,GB1_00261,आलंदूर से गिंडी का किराया कितना लगेगा?,,,,,,,,
ANN_B2_129,GB1_00362,Pallavaram se Central ke liye subah pehli local_train kab nikalti hia?,,,,,,,,
ANN_B2_130,GB1_00608,Is Tambaram station open right now?,,,,,,,,
ANN_B2_131,GB1_00134,सिरुसेरि से सेंट्रल जाने के लिए बस और मेट्रो दोनों का संयुक्त रूट बताएं,,,,,,,,
ANN_B2_132,GB1_01642,gindi se Koyambedu transit se kaise jayein,,,,,,,,
ANN_B2_133,GB1_01519,beach se night last metro train kitne baje tak milti hai,,,,,,,,
ANN_B2_134,GB1_00334,bl ln liv stts trckr me bh khn phnch h,,,,,,,,
ANN_B2_135,GB1_00324,102 live status tracker me abhi kahan pahunchi hai?,,,,,,,,
ANN_B2_136,GB1_00255,Vadapalani se 10:15 pe kaunsi scheduled metro feeder hai?,,,,,,,,
ANN_B2_137,GB1_01133,10:00 night scheduled metro departure from tmabaram?,,,,,,,,
ANN_B2_138,GB1_00606,Tambaram से next train kab hai?,,,,,,,,
ANN_B2_139,GB1_01489,Avadi se night last metro train kitne baje tak milti hia?,,,,,,,,
ANN_B2_140,GB1_00185,kymbd s lndr ka rt kya h,,,,,,,,
ANN_B2_141,GB1_01240,Can you recommend cheap hotels or guest houses near Chennai tambaram railway station?,,,,,,,,
ANN_B2_142,GB1_00265,कोयम्बेडु से एयरपोर्ट का किराया कितना लगेगा?,,,,,,,,
ANN_B2_143,GB1_00045,29c के सारे स्टॉप्स की लिस्ट बताएं,,,,,,,,
ANN_B2_144,GB1_00337,sbrbn ka offcl sched tmtbl kya hai tmbrm par,,,,,,,,
ANN_B2_145,GB1_00121,vdpln stn pe twwhlr prkng fclty hai,,,,,,,,
ANN_B2_146,GB1_00823,बस 21G tambaram जाएगी?,,,,,,,,
ANN_B2_147,GB1_00660,Perungalathur से next train kab hai?,,,,,,,,
ANN_B2_148,GB1_00350,Anna University metro se kaise pahuchein?,,,,,,,,
ANN_B2_149,GB1_00644,is adyr stn open rght now,,,,,,,,
ANN_B2_150,GB1_00427,Where should I interchange between Perambur and Guindy?,,,,,,,,
ANN_B2_151,GB1_00276,अन्ना नगर टावर से एयरपोर्ट यात्रा के लिए टोकन या कार्ड नियम क्या ह?ै,,,,,,,,
ANN_B2_152,GB1_00074,कोयम्बेडु पर bus कितनी कितनी देर में आती ह?ै,,,,,,,,
ANN_B2_153,GB1_00039,102 के सारे स्टॉप्स की लिस्ट बताएं,,,,,,,,
ANN_B2_154,GB1_00659,कहाँ से वेलाचेरी जाऊं?,,,,,,,,
ANN_B2_155,GB1_00382,thrmyl se bch ke liye 0745 baje schdld mrts_trn tmg kya hai,,,,,,,,
ANN_B2_156,GB1_00484,Koyambedu bus schedule or route?,,,,,,,,
ANN_B2_157,GB1_01239,Can you recommend cheap hotels or guest houses near Chennai koyambedu railway station?,,,,,,,,
ANN_B2_158,GB1_00370,Avadi se Central ke liye 07:45 baje scheduled suburban_train timing kya hai?,,,,,,,,
ANN_B2_159,GB1_00474,vadapalani bus schedule or route,,,,,,,,
ANN_B2_160,GB1_02323,rt 19b pr liv trckng gps stts khn shw ho rh h,,,,,,,,
ANN_B2_161,GB1_00504,Saidapet bus schedule or rout,,,,,,,,
ANN_B2_162,GB1_00400,Guindy se Tambaram ke liye 07:45 baje scheduled suburban_rail timing kya hai?,,,,,,,,
ANN_B2_163,GB1_00043,please list all stops along bus route 114,,,,,,,,
ANN_B2_164,GB1_00153,What is the official timetable departure for route 114 from Red Hlils?,,,,,,,,
ANN_B2_165,GB1_00135,Velachery se Airport jane ka rasta batao,,,,,,,,
ANN_B2_166,GB1_00961,tambaram local 09:00,,,,,,,,
ANN_B2_167,GB1_00630,Broadway से next train kab hia?,,,,,,,,
ANN_B2_168,GB1_02366,गिंडी में vegetarian food delivery app से आ सकता है,,,,,,,,
ANN_B2_169,GB1_00126,क्या तांबरम स्टैशन पर दिव्यांगों के लिए लिफ्ट और रैंप है,,,,,,,,
ANN_B2_170,GB1_00326,114 live status tracker me abhi kha pahunchi hai,,,,,,,,
ANN_B2_171,GB1_00408,is thr a drct bs or trn frm chpk to bch,,,,,,,,
ANN_B2_172,GB1_00099,सिएमबीटी से एयरपोर्ट का टिकट कितने रुपये का है,,,,,,,,
ANN_B2_173,GB1_00136,Velachery se Airport local train aur bus dono combine karke route kya hai?,,,,,,,,
ANN_B2_174,GB1_00101,Thirumangalam to Saidapet travel ka ticket cost kitna hai?,,,,,,,,
ANN_B2_175,GB1_00534,Beach bus schedule or ruote?,,,,,,,,
ANN_B2_176,GB1_00798,570 to siruseri,,,,,,,,
ANN_B2_177,GB1_00044,does route 114 halt at red hills,,,,,,,,
ANN_B2_178,GB1_00533,चन्नई बच स मट्रो,,,,,,,,
ANN_B2_179,GB1_01264,erport se night last metro train kitne baje tak milti hai,,,,,,,,
ANN_B2_180,GB1_02396,कोयम्बेडु में vegetarian food delivery app से आ सकता है?,,,,,,,,
ANN_B2_181,GB1_01116,ye bus 570 kitni der me ek baar milti hai OMR road pe?,,,,,,,,
ANN_B2_182,GB1_01644,Tambaram se Beach transit se kaise jayein?,,,,,,,,
ANN_B2_183,GB1_01406,Good South Indian vegetarian restaurants near Saidapet station?,,,,,,,,
ANN_B2_184,GB1_00838,102 to broadway ,,,,,,,,
ANN_B2_185,GB1_00110,can i use chennai metro smart card for discount on washermenpet to airport journey,,,,,,,,
ANN_B2_186,GB1_00566,rout 19B,,,,,,,,
ANN_B2_187,GB1_00029,Is there a direct metro train between High Court and St. Thomas Mount?,,,,,,,,
ANN_B2_188,GB1_00102,thirumangalam se saidapet travel ke liye monthly pass valid hai kya,,,,,,,,
ANN_B2_189,GB1_00349,Anna University ke paas kaun sa metro station hai?,,,,,,,,
ANN_B2_190,GB1_02325,route green line par live tracking gps status kahan show ho raha hai,,,,,,,,
ANN_B2_191,GB1_01129,10:00 night scheduled metro departure from central?,,,,,,,,
ANN_B2_192,GB1_00120,क्य कयमबड स्टशन पर दिव्यंगों क लिए लिफ्ट और रैंप है,,,,,,,,
ANN_B2_193,GB1_00240,Egmore se 10:15 pe kaunsi scheduled suburban train hai?,,,,,,,,
ANN_B2_194,GB1_00239,Egmore se suburban train din me kitni frequent hai?,,,,,,,,
ANN_B2_195,GB1_00339,Phoenix Marketcity ke paas kaun sa metro station hai?,,,,,,,,
ANN_B2_196,GB1_00967,tmbrm lcl 1845,,,,,,,,
ANN_B2_197,GB1_00375,Chengalpattu to Tambaram route par suburban_local kitne minute ke gap me chalti hai?,,,,,,,,
ANN_B2_198,GB1_00856,बस 29C perambur जाएगि,,,,,,,,
ANN_B2_199,GB1_00846,102 to siruseri,,,,,,,,
ANN_B2_200,GB1_00805,570 to kyoambedu,,,,,,,,
ANN_B2_201,GB1_00509,Kilpauk bus schedule or rout,,,,,,,,
ANN_B2_202,GB1_00094,क्या गिंडी से आलंदूर यात्रा पर स्मार्ट कार्ड से डिस्काउंट मिलता है?,,,,,,,,
ANN_B2_203,GB1_00363,pllvrm to cntrl rt par lcl_trn ktn mnt ke gap me chlt hai,,,,,,,,
ANN_B2_204,GB1_00142,Red Hills se Guindy local train aur bus dono combine karke route kya hia?,,,,,,,,
ANN_B2_205,GB1_00173,Kapaleeshwarar Temple ke nearest kaunsa station padega?,,,,,,,,
ANN_B2_206,GB1_00598,Central to anywhere metro?,,,,,,,,
ANN_B2_207,GB1_01747,rt a1 ke sr stps sqnc me btao,,,,,,,,
ANN_B2_208,GB1_00022,किल्पौक से एयरपोर्ट मेट्रो से कैसे जाएं?,,,,,,,,
ANN_B2_209,GB1_00154,Where is route 114 vehicle right now on live tracking?,,,,,,,,
ANN_B2_210,GB1_01082,green line metro halts from tambaram to st thomas mount,,,,,,,,
ANN_B2_211,GB1_00554,Route 29C?,,,,,,,,
ANN_B2_212,GB1_02210,Interchange walking details between platforms at Broadway,,,,,,,,
ANN_B2_213,GB1_00642,Adyar से next train kab hai?,,,,,,,,
ANN_B2_214,GB1_00318,Porur to Central multimodal route combining train and bus itnerchange,,,,,,,,
ANN_B2_215,GB1_00616,Guindy to anywhere mtero?,,,,,,,,
ANN_B2_216,GB1_01579,Chengalpattu se night last metro train kitne baje tak milti hai?,,,,,,,,
ANN_B2_217,GB1_01549,mmblm s nght lst mtro trn ktn bj tak mlt h,,,,,,,,
ANN_B2_218,GB1_01421,Good South Indian vegetarian restaurants near Washermenpet station?,,,,,,,,
ANN_B2_219,GB1_00853,बस 29C mylapore जएागी?,,,,,,,,
ANN_B2_220,GB1_00374,Chengalpattu se Tambaram ke liye subah pehli suburban_local kab nikalti hai?,,,,,,,,
ANN_B2_221,GB1_02095,वॉशरमैनपेट स्टेशन पर पार्किंग की क्या व्यवस्था उपलब्ध है?,,,,,,,,
ANN_B2_222,GB1_00377,chpk se vlchry ke liye sbh phl mrts_trn kab nklt hai,,,,,,,,
ANN_B2_223,GB1_00478,अन्ना नगर टावर से मेट्रो?,,,,,,,,
ANN_B2_224,GB1_00647,कहाँ से अडयार जाऊं?,,,,,,,,
ANN_B2_225,GB1_00317,Porur to Central journey route giudance,,,,,,,,
ANN_B2_226,GB1_00030,whr do i nd to chng lns whn trvlng frm hgh crt to st thms mnt,,,,,,,,
ANN_B2_227,GB1_00898,19B to siruseri,,,,,,,,
ANN_B2_228,GB1_00893,19B to t naga,,,,,,,,
ANN_B2_229,GB1_00632,Is Broadway station open right now?,,,,,,,,
ANN_B2_230,GB1_00182,anna nagar tower se central ka route kya hai,,,,,,,,
ANN_B2_231,GB1_00041,570 rout ke complete stops dikhao,,,,,,,,
ANN_B2_232,GB1_00325,114 ka official schedule timetable kya hai CMBT par?,,,,,,,,
ANN_B2_233,GB1_00640,Beach to anywhere mtro,,,,,,,,
ANN_B2_234,GB1_00425,how do i rch gndy frm prmbr by trnst,,,,,,,,
ANN_B2_235,GB1_00731,erport midnight train,,,,,,,,
ANN_B2_236,GB1_00812,बस 114 thirumangalam जाएगी?,,,,,,,,
ANN_B2_237,GB1_02056,calculate fare amount between cmbt and siruseri it park,,,,,,,,
ANN_B2_238,GB1_01928,what is the schdld dprtr time from thrmnglm arnd 0900,,,,,,,,
ANN_B2_239,GB1_00524,Avadi bus schedule or route?,,,,,,,,
ANN_B2_240,GB1_01496,Good South Indian vegetarian restaurants near Avadi station?,,,,,,,,
ANN_B2_241,GB1_00654,vlchry स next trn kab hai,,,,,,,,
ANN_B2_242,GB1_00562,route a1,,,,,,,,
ANN_B2_243,GB1_02411,तांबरम में vegetarian food delivery app से आ सकता है?,,,,,,,,
ANN_B2_244,GB1_00428,How do I reach Koyambedu from Adyar by tarnsit?,,,,,,,,
ANN_B2_245,GB1_00278,सिरुसेरी से ब्रॉडवे यात्रा के लिए टोकन या कार्ड नियम क्या है?,,,,,,,,
ANN_B2_246,GB1_00066,एयरपोर्ट से सुबह 8:30 बजे कौन सी metro तय है?,,,,,,,,
ANN_B2_247,GB1_00872,बस 54 brdwy जएग,,,,,,,,
ANN_B2_248,GB1_00321,21G ka official schedule timetable kya hai gindi par,,,,,,,,
ANN_B2_249,GB1_00027,vdpln to cntrl rt me ln chng khn krn hg,,,,,,,,
ANN_B2_250,GB1_00378,Chepauk to Velachery route par mrts_train kitne minute ke gap me chalti hai?,,,,,,,,
ANN_B2_251,GB1_00065,एयरपोर्ट पर metro कितनी कितनी देर में आती है?,,,,,,,,
ANN_B2_252,GB1_00125,तांबरम स्टेशन पर गाड़ी पार्किंग की जगह है कय्ा?,,,,,,,,
ANN_B2_253,GB1_02417,तांबरम में train interchange के लिए platform बदलना पड़ेगा?,,,,,,,,
ANN_B2_254,GB1_01354,anna nagar se night last metro train kitne baje tak milti hai,,,,,,,,
ANN_B2_255,GB1_00648,Thiruvanmiyur से next train kab hai?,,,,,,,,
ANN_B2_256,GB1_00323,102 ka official schedule timetable kya hai Adyar Depot par?,,,,,,,,
ANN_B2_257,GB1_02136,क्य चननई सटरल सटशन पर दवयग क लए लफट और सपरशनय मर्ग हं,,,,,,,,
ANN_B2_258,GB1_00494,Washermenpet bus schedule or route?,,,,,,,,
ANN_B2_259,GB1_00458,आलंदूर स्टेशन कि जानकारी,,,,,,,,
ANN_B2_260,GB1_00381,Thirumayilai to Beach route par mrts_train kitne minute ke gap me chalti hai?,,,,,,,,
ANN_B2_261,GB1_00539,Chromepet bus schedule or route?,,,,,,,,
ANN_B2_262,GB1_00479,anna nagar tower bus schedule or route,,,,,,,,
ANN_B2_263,GB1_00376,chengalpattu se tambaram ke liye 0745 baje scheduled suburban_local timing kya hai,,,,,,,,
ANN_B2_264,GB1_01504,Velachery se night last metro train kitne baje tak milti hai?,,,,,,,,
ANN_B2_265,GB1_00730,guindy morning first,,,,,,,,
ANN_B2_266,GB1_00322,21G live status tracker me abhi kha pahunchi hai,,,,,,,,
ANN_B2_267,GB1_00232,kymbd se mrnng me phl intrcty bus kab nklg,,,,,,,,
ANN_B2_268,GB1_00799,बस 570 gndy जएग,,,,,,,,
ANN_B2_269,GB1_00863,29C to san thom,,,,,,,,
ANN_B2_270,GB1_00034,Meenambakkam se Central metro se kaise jaun?,,,,,,,,
ANN_B2_271,GB1_00605,कहाँ से एग्मोर जाऊं?,,,,,,,,
ANN_B2_272,GB1_02039,किल्पौक स एयरपरट क एक तरफ क यत्र क किरय क्य है,,,,,,,,
ANN_B2_273,GB1_00741,central 8:30 am,,,,,,,,
ANN_B2_274,GB1_00133,सिरुसेरी से सेंट्रल कैसे पहुंचें,,,,,,,,
ANN_B2_275,GB1_00842,बस 102 sholinganallur जाएगी?,,,,,,,,
ANN_B2_276,GB1_01175,gndy mtro stn cncrs me atm ya drnkng wtr avl h,,,,,,,,
ANN_B2_277,GB1_00825,बस 21G guindy जाएगी?,,,,,,,,
ANN_B2_278,GB1_00544,Mambalam bus schedule or route?,,,,,,,,
ANN_B2_279,GB1_00372,mbttr to bch rt pr lcl_trn ktn mnt ke gap me chlt h,,,,,,,,
ANN_B2_280,GB1_01564,Pallavaram se night last metro train kitne baje tak milti hai?,,,,,,,,
ANN_B2_281,GB1_00184,Anna Nagar Tower se Central badalna kahan padega?,,,,,,,,
ANN_B2_282,GB1_00890,A1 to war memorial,,,,,,,,
ANN_B2_283,GB1_00586,Route 23C?,,,,,,,,
ANN_B2_284,GB1_01907,Check headway and frequency of departures at Anna Nagar Tower,,,,,,,,
ANN_B2_285,GB1_00038,Does route 21G halt at Guindy?,,,,,,,,
ANN_B2_286,GB1_01160,agar metro smart card se travel kare to token ke comparison me kitna discount milta hai?,,,,,,,,
ANN_B2_287,GB1_00373,Ambattur se Beach ke liye 07:45 baje scheduled local_train timing kya hia?,,,,,,,,
ANN_B2_288,GB1_00596,Is Central station open right now?,,,,,,,,
ANN_B2_289,GB1_00368,vd s cntrl ke ly sbh phl sbrbn_trn kb nklt h,,,,,,,,
ANN_B2_290,GB1_00398,gindi se Tambaram ke liye subah pehli suburban_rail kab nikalti hai,,,,,,,,
ANN_B2_291,GB1_01134,10:00 night scheduled metro departure from vadapalani?,,,,,,,,
ANN_B2_292,GB1_01112,kymbd mffsl stnd s lst mdnght bs kb tak mil skt h,,,,,,,,
ANN_B2_293,GB1_01237,can you recommend cheap hotels or guest houses near chennai alandur railway station,,,,,,,,
ANN_B2_294,GB1_00186,kymbd se alndr drct srvc hai ya chg,,,,,,,,
ANN_B2_295,GB1_01083,green line metro halts from vadapalani to st thomas mount,,,,,,,,
ANN_B2_296,GB1_00441,Beach se tambrum,,,,,,,,
ANN_B2_297,GB1_00026,Vadapalani se Central direct metro service hai kya?,,,,,,,,
ANN_B2_298,GB1_00429,Is there a direct bus or train from Adyar to Koyambedu?,,,,,,,,
ANN_B2_299,GB1_00628,Alandur to anywhere mtro,,,,,,,,
ANN_B2_300,GB1_00886,बस A1 besant nagar जाएगी?,,,,,,,,
ANN_B2_301,GB1_00819,114 to koyambedu ,,,,,,,,
ANN_B2_302,GB1_00183,Anna Nagar Tower se sntrl direct service hai ya change,,,,,,,,
ANN_B2_303,GB1_00897,बस 19b siruseri जाएगी,,,,,,,,
ANN_B2_304,GB1_00406,where should i interchange between mylapore and velachery,,,,,,,,
ANN_B2_305,GB1_00638,is bch stn open rght now,,,,,,,,
ANN_B2_306,GB1_00611,कहाँ से तांबरम जाऊं?,,,,,,,,
