utterance_id,semantic_scenario_id,semantic_family_id,family_id,paraphrase_group_id,taxonomy_version,taxonomy_label,semantic_operation,query,language,script,code_switch_level,noise_level,slots_json,canonical_entities_json,answerability_status,generation_method,template_id
PILOT_T3_TR_000013,,SFAM_SCHEDULED_DEPARTURE_002,FAM_SCHEDULED_DEPARTURE_002,PARA_SCHEDULED_DEPARTURE_1_3,T3_FINE_V1,scheduled_departure,GET_SCHEDULED_DEPARTURES,Transit query: Chennai Central station se kal 8 baje train schedule kya hoga (F2) #5,hi-en,Latn,CS3,N0,"{""origin"": ""Chennai Central"", ""temporal_relative"": ""kal"", ""resolved_temporal_offset"": ""UNRESOLVED_TEMPORAL_AMBIGUITY"", ""time"": ""8 baje"", ""temporal_ambiguity"": true, ""dual_candidates"": [""08:00:00"", ""20:00:00""]}","{""origin_id"": ""METRO_PURATCHI_THALAIVAR_DR__M_G_RAMACHANDRAN_CENTRAL""}",ANSWERABLE_NOW,template_instantiation,TMPL_SCHEDULED_DEPARTURE_HINGLISH_LATN_1
PILOT_T3_TR_000014,,SFAM_OUT_OF_SCOPE_017,FAM_OUT_OF_SCOPE_017,PARA_OUT_OF_SCOPE_16_2,T3_FINE_V1,out_of_scope,REJECT_OUT_OF_SCOPE,Could you specify st thomas mount airport terminal ke flight delay timings check kijiye. [bahar F17]? #3,hi,Latn,CS0,N0,"{""station"": ""st thomas mount""}","{""station_id"": ""METRO_ST__THOMAS_MOUNT""}",OUT_OF_SCOPE,template_instantiation,TMPL_OUT_OF_SCOPE_HI_LATN_16
PILOT_T3_TR_000015,,SFAM_ROUTE_STOP_MEMBERSHIP_003,FAM_ROUTE_STOP_MEMBERSHIP_003,PARA_ROUTE_STOP_MEMBERSHIP_2_0,T3_FINE_V1,route_stop_membership,CHECK_STOP_ON_ROUTE,Does bus route 102A make a scheduled halt at Adyar? [chk F3],en,Latn,CS0,N0,"{""route_number"": ""102A"", ""stop"": ""Adyar"", ""transport_mode"": ""bus""}","{""route_id"": ""GTFS_ROUTE_10248"", ""stop_id"": ""BUS_2587520213""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_ROUTE_STOP_MEMBERSHIP_EN_2
PILOT_T3_TR_000016,,SFAM_STATION_ACCESSIBILITY_003,FAM_STATION_ACCESSIBILITY_003,PARA_STATION_ACCESSIBILITY_2_2,T3_FINE_V1,station_accessibility,GET_ACCESSIBILITY_INFO,Quick check: kya guindy metro station me wheelchair disabled ke liye tactile paths for blind hai? [barrier-free F3] #4,hi,Latn,CS0,N0,"{""station"": ""guindy"", ""accessibility_feature"": ""tactile_path"", ""transport_mode"": ""metro""}","{""station_id"": ""METRO_GUINDY""}",ANSWERABLE_NOW,template_instantiation,TMPL_STATION_ACCESSIBILITY_HI_LATN_2
PILOT_T3_TR_000017,,SFAM_STATION_FACILITIES_001,FAM_STATION_FACILITIES_001,PARA_STATION_FACILITIES_0_0,T3_FINE_V1,station_facilities,GET_STATION_FACILITY,"Excuse me, Is car parking facility available at Airport metro station? [fac F1] #6",en,Latn,CS0,N0,"{""station"": ""Airport"", ""facility_type"": ""parking"", ""transport_mode"": ""metro""}","{""station_id"": ""METRO_CHENNAI_INTERNATIONAL_AIRPORT""}",ANSWERABLE_NOW,template_instantiation,TMPL_STATION_FACILITIES_EN_0
PILOT_T3_TR_000018,,SFAM_STATION_FACILITIES_014,FAM_STATION_FACILITIES_014,PARA_STATION_FACILITIES_13_1,T3_FINE_V1,station_facilities,GET_STATION_FACILITY,"Excuse me, क्या वॉशरमैनपेट मेट्रो स्टेशन पर बाइक पार्किंग की व्यवस्था उपलब्ध है? (सुविधा F14) #6",hi,Deva,CS0,N0,"{""station"": ""वॉशरमैनपेट"", ""facility_type"": ""two_wheeler_parking"", ""transport_mode"": ""मेट्रो""}","{""station_id"": ""METRO_WASHERMENPET""}",ANSWERABLE_NOW,template_instantiation,TMPL_STATION_FACILITIES_HI_DEVA_13
PILOT_T3_TR_000019,,SFAM_SERVICE_FREQUENCY_002,FAM_SERVICE_FREQUENCY_002,PARA_SERVICE_FREQUENCY_1_1,T3_FINE_V1,service_frequency,GET_SERVICE_FREQUENCY,Could you specify चेन्नई सेंट्रल और तिरुमंगलम के बीच मेट्रो हर कितने मिनट के अंतराल पर चलती है? (आवृत्ति F2)? #3,hi,Deva,CS0,N0,"{""origin"": ""चेन्नई सेंट्रल"", ""destination"": ""तिरुमंगलम"", ""timing_type"": ""frequency"", ""transport_mode"": ""मेट्रो""}","{""origin_id"": ""METRO_PURATCHI_THALAIVAR_DR__M_G_RAMACHANDRAN_CENTRAL"", ""destination_id"": ""METRO_THIRUMANGALAM""}",ANSWERABLE_NOW,template_instantiation,TMPL_SERVICE_FREQUENCY_HI_DEVA_1
PILOT_T3_TR_000020,,SFAM_INTERCHANGE_TRANSFER_007,FAM_INTERCHANGE_TRANSFER_007,PARA_INTERCHANGE_TRANSFER_6_0,T3_FINE_V1,interchange_transfer,GET_INTERCHANGE_DETAILS,"Excuse me, How do I switch lines to connect towards Washermenpet at Vadapalani interchange? [xfer F7] #6",en,Latn,CS0,N0,"{""station"": ""Vadapalani"", ""destination"": ""Washermenpet"", ""facility_type"": ""interchange""}","{""station_id"": ""METRO_VADAPALANI"", ""destination_id"": ""METRO_WASHERMENPET""}",ANSWERABLE_AFTER_MANUAL_VERIFICATION,template_instantiation,TMPL_INTERCHANGE_TRANSFER_EN_6
PILOT_T3_TR_000021,,SFAM_NEAREST_TRANSPORT_014,FAM_NEAREST_TRANSPORT_014,PARA_NEAREST_TRANSPORT_13_0,T3_FINE_V1,nearest_transport,FIND_NEAREST_STATION,Could you specify Which is the nearest metro station or transit stop to Maritime Institute? [loc F14]? #3,en,Latn,CS0,N0,"{""landmark"": ""Maritime Institute"", ""transport_mode"": ""metro""}","{""place_id"": ""OSM_POI_314081186""}",ANSWERABLE_NOW,template_instantiation,TMPL_NEAREST_TRANSPORT_EN_13
PILOT_T3_TR_000022,,SFAM_FIRST_AND_LAST_SERVICE_018,FAM_FIRST_AND_LAST_SERVICE_018,PARA_FIRST_AND_LAST_SERVICE_17_0,T3_FINE_V1,first_and_last_service,GET_FIRST_LAST_SERVICE,Quick check: What time does the earliest and latest train depart Nehru Park for CMBT? [hrs F18] #4,en,Latn,CS0,N0,"{""origin"": ""Nehru Park"", ""destination"": ""CMBT"", ""timing_type"": ""first_last"", ""transport_mode"": ""metro""}","{""origin_id"": ""METRO_NEHRU_PARK"", ""destination_id"": ""METRO_PURATCHI_THALAIVI_DR_J_JAYALALITHAA_CMBT""}",ANSWERABLE_NOW,template_instantiation,TMPL_FIRST_AND_LAST_SERVICE_EN_17
PILOT_T3_TR_000023,,SFAM_SCHEDULED_DEPARTURE_017,FAM_SCHEDULED_DEPARTURE_017,PARA_SCHEDULED_DEPARTURE_16_2,T3_FINE_V1,scheduled_departure,GET_SCHEDULED_DEPARTURES,Could you specify st thomas mount se sham 7 baje departure timing schedule bataye. [timetable F17]? #3,hi,Latn,CS0,N0,"{""origin"": ""st thomas mount"", ""time"": ""sham 7 baje"", ""resolved_time"": ""19:00:00""}","{""origin_id"": ""METRO_ST__THOMAS_MOUNT""}",ANSWERABLE_NOW,template_instantiation,TMPL_SCHEDULED_DEPARTURE_HI_LATN_16
PILOT_T3_TR_000024,,SFAM_STATION_ACCESSIBILITY_011,FAM_STATION_ACCESSIBILITY_011,PARA_STATION_ACCESSIBILITY_10_2,T3_FINE_V1,station_accessibility,GET_ACCESSIBILITY_INFO,kya egmore metro station me wheelchair disabled ke liye tactile paths for blind hai? [barrier-free F11],hi,Latn,CS0,N0,"{""station"": ""egmore"", ""accessibility_feature"": ""tactile_path"", ""transport_mode"": ""metro""}","{""station_id"": ""METRO_EGMORE""}",ANSWERABLE_NOW,template_instantiation,TMPL_STATION_ACCESSIBILITY_HI_LATN_10
PILOT_T3_TR_000025,,SFAM_INTERCHANGE_TRANSFER_015,FAM_INTERCHANGE_TRANSFER_015,PARA_INTERCHANGE_TRANSFER_14_0,T3_FINE_V1,interchange_transfer,GET_INTERCHANGE_DETAILS,Quick check: How do I switch lines to connect towards Chennai Central at Little Mount interchange? [xfer F15] #4,en,Latn,CS0,N0,"{""station"": ""Little Mount"", ""destination"": ""Chennai Central"", ""facility_type"": ""interchange""}","{""station_id"": ""METRO_LITTLE_MOUNT"", ""destination_id"": ""METRO_PURATCHI_THALAIVAR_DR__M_G_RAMACHANDRAN_CENTRAL""}",ANSWERABLE_AFTER_MANUAL_VERIFICATION,template_instantiation,TMPL_INTERCHANGE_TRANSFER_EN_14
PILOT_T3_TR_000026,,SFAM_MULTIMODAL_ROUTE_013,FAM_MULTIMODAL_ROUTE_013,PARA_MULTIMODAL_ROUTE_12_0,T3_FINE_V1,multimodal_route,PLAN_MULTIMODAL_ROUTE,Please tell: What is the combined bus and metro route from Nelvoy to Pachaiyappa College? [plan F13] #2,en,Latn,CS0,N0,"{""origin"": ""Nelvoy"", ""destination"": ""Pachaiyappa College"", ""transport_mode"": ""multimodal""}","{""origin_id"": ""BUS_469106564"", ""destination_id"": ""METRO_PACHAIYAPPA_S_COLLEGE""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_MULTIMODAL_ROUTE_EN_12
PILOT_T3_TR_000027,,SFAM_STATION_ACCESSIBILITY_004,FAM_STATION_ACCESSIBILITY_004,PARA_STATION_ACCESSIBILITY_3_1,T3_FINE_V1,station_accessibility,GET_ACCESSIBILITY_INFO,"Hello assistant, क्या आलंदूर स्टेशन पर दिव्यांग यात्रियों के लिए एस्केलेटर उपलब्ध है? (सुलभता F4) #7",hi,Deva,CS0,N1,"{""station"": ""आलंदूर"", ""accessibility_feature"": ""escalator"", ""transport_mode"": ""मेट्रो""}","{""station_id"": ""METRO_ARIGNAR_ANNA_ALANDUR""}",ANSWERABLE_NOW,template_instantiation,TMPL_STATION_ACCESSIBILITY_HI_DEVA_3
PILOT_T3_TR_000028,,SFAM_MODE_AVAILABILITY_019,FAM_MODE_AVAILABILITY_019,PARA_MODE_AVAILABILITY_18_1,T3_FINE_V1,mode_availability,CHECK_SERVICE_AVAILABILITY,Please tell: क्या किल्पौक से अडयार के लिए कोई सार्वजनिक बस या ट्रेन उपलब्ध है? (उपलब्धता F19) #2,hi,Deva,CS0,N0,"{""origin"": ""किल्पौक"", ""destination"": ""अडयार"", ""transport_mode"": ""सार्वजनिक बस या ट्रेन""}","{""origin_id"": ""METRO_KILPAUK"", ""destination_id"": ""BUS_2587520213""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_MODE_AVAILABILITY_HI_DEVA_18
PILOT_T3_TR_000029,,SFAM_FARE_CALCULATION_007,FAM_FARE_CALCULATION_007,PARA_FARE_CALCULATION_6_1,T3_FINE_V1,fare_calculation,CALCULATE_FARE,वडपलनी से वॉशरमैनपेट तक का मेट्रो का टोकन किराया कितना रुपया है? (किराया F7),hi,Deva,CS0,N1,"{""origin"": ""वडपलनी"", ""destination"": ""वॉशरमैनपेट"", ""fare_type"": ""टोकन"", ""transport_mode"": ""मेट्रो""}","{""origin_id"": ""METRO_VADAPALANI"", ""destination_id"": ""METRO_WASHERMENPET""}",ANSWERABLE_NOW,template_instantiation,TMPL_FARE_CALCULATION_HI_DEVA_6
PILOT_T3_TR_000030,,SFAM_INTERCHANGE_TRANSFER_019,FAM_INTERCHANGE_TRANSFER_019,PARA_INTERCHANGE_TRANSFER_18_3,T3_FINE_V1,interchange_transfer,GET_INTERCHANGE_DETAILS,"Excuse me, Transfer walking time and directions at Kilpauk multimodal terminal (F19) #6",hi-en,Latn,CS3,N1,"{""station"": ""Kilpauk"", ""facility_type"": ""interchange""}","{""station_id"": ""METRO_KILPAUK""}",ANSWERABLE_AFTER_MANUAL_VERIFICATION,template_instantiation,TMPL_INTERCHANGE_TRANSFER_HINGLISH_LATN_18
PILOT_T3_TR_000031,,SFAM_SERVICE_FREQUENCY_004,FAM_SERVICE_FREQUENCY_004,PARA_SERVICE_FREQUENCY_3_1,T3_FINE_V1,service_frequency,GET_SERVICE_FREQUENCY,Quick check: आलंदूर और एग्मोर के बीच मेट्रो हर कितने मिनट के अंतराल पर चलती है? (आवृत्ति F4) #4,hi,Deva,CS0,N2,"{""origin"": ""आलंदूर"", ""destination"": ""एग्मोर"", ""timing_type"": ""frequency"", ""transport_mode"": ""मेट्रो""}","{""origin_id"": ""METRO_ARIGNAR_ANNA_ALANDUR"", ""destination_id"": ""METRO_EGMORE""}",ANSWERABLE_NOW,template_instantiation,TMPL_SERVICE_FREQUENCY_HI_DEVA_3
PILOT_T3_TR_000032,,SFAM_MODE_AVAILABILITY_002,FAM_MODE_AVAILABILITY_002,PARA_MODE_AVAILABILITY_1_1,T3_FINE_V1,mode_availability,CHECK_SERVICE_AVAILABILITY,"Hello assistant, क्या चेन्नई सेंट्रल से ब्रॉडवे के लिए कोई सार्वजनिक बस या ट्रेन उपलब्ध है? (उपलब्धता F2) #7",hi,Deva,CS0,N1,"{""origin"": ""चेन्नई सेंट्रल"", ""destination"": ""ब्रॉडवे"", ""transport_mode"": ""सार्वजनिक बस या ट्रेन""}","{""origin_id"": ""METRO_PURATCHI_THALAIVAR_DR__M_G_RAMACHANDRAN_CENTRAL"", ""destination_id"": ""BUS_27618346""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_MODE_AVAILABILITY_HI_DEVA_1
PILOT_T3_TR_000033,,SFAM_ROUTE_STOP_SEQUENCE_002,FAM_ROUTE_STOP_SEQUENCE_002,PARA_ROUTE_STOP_SEQUENCE_1_3,T3_FINE_V1,route_stop_sequence,LIST_ROUTE_STOPS,Please tell: Full stop order details for bus number 102 please provide (F2) #2,hi-en,Latn,CS3,N0,"{""route_number"": ""102"", ""transport_mode"": ""bus""}","{""route_id"": ""GTFS_ROUTE_16861""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_ROUTE_STOP_SEQUENCE_HINGLISH_LATN_1
PILOT_T3_TR_000034,,SFAM_OUT_OF_SCOPE_003,FAM_OUT_OF_SCOPE_003,PARA_OUT_OF_SCOPE_2_1,T3_FINE_V1,out_of_scope,REJECT_OUT_OF_SCOPE,"Hello assistant, गिंडी के निकटतम सबसे अच्छे रेस्टोरेंट और भोजनालय की सूची दें। (बाहर F3) #7",hi,Deva,CS0,N1,"{""station"": ""गिंडी""}","{""station_id"": ""METRO_GUINDY""}",OUT_OF_SCOPE,template_instantiation,TMPL_OUT_OF_SCOPE_HI_DEVA_2
PILOT_T3_TR_000035,,SFAM_MULTIMODAL_ROUTE_001,FAM_MULTIMODAL_ROUTE_001,PARA_MULTIMODAL_ROUTE_0_0,T3_FINE_V1,multimodal_route,PLAN_MULTIMODAL_ROUTE,Please tell: What is the combined bus and metro route from Tambaram to High Court? [plan F1] #2,en,Latn,CS0,N0,"{""origin"": ""Tambaram"", ""destination"": ""High Court"", ""transport_mode"": ""multimodal""}","{""origin_id"": ""BUS_5304399879"", ""destination_id"": ""METRO_HIGHCOURT""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_MULTIMODAL_ROUTE_EN_0
PILOT_T3_TR_000036,,SFAM_ROUTE_STOP_MEMBERSHIP_011,FAM_ROUTE_STOP_MEMBERSHIP_011,PARA_ROUTE_STOP_MEMBERSHIP_10_1,T3_FINE_V1,route_stop_membership,CHECK_STOP_ON_ROUTE,Please tell: क्या बस 11 R कलपक्कम स्टॉप पर रुकती है? (जांच F11) #2,hi,Deva,CS0,N0,"{""route_number"": ""11 R"", ""stop"": ""कलपक्कम"", ""transport_mode"": ""बस""}","{""route_id"": ""GTFS_ROUTE_23728"", ""stop_id"": ""BUS_30143150""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_ROUTE_STOP_MEMBERSHIP_HI_DEVA_10
PILOT_T3_TR_000037,,SFAM_SERVICE_FREQUENCY_016,FAM_SERVICE_FREQUENCY_016,PARA_SERVICE_FREQUENCY_15_4,T3_FINE_V1,service_frequency,GET_SERVICE_FREQUENCY,Please tell: Saidapet से Guindy trains kitni frequency se run karti hain interval F16 #2,hi-en,Deva+Latn,CS4,N0,"{""origin"": ""Saidapet"", ""destination"": ""Guindy"", ""timing_type"": ""frequency"", ""transport_mode"": ""metro""}","{""origin_id"": ""METRO_SAIDAPET"", ""destination_id"": ""METRO_GUINDY""}",ANSWERABLE_NOW,template_instantiation,TMPL_SERVICE_FREQUENCY_MIXED_SCRIPT_CS_15
PILOT_T3_TR_000038,,SFAM_INTERCHANGE_TRANSFER_008,FAM_INTERCHANGE_TRANSFER_008,PARA_INTERCHANGE_TRANSFER_7_3,T3_FINE_V1,interchange_transfer,GET_INTERCHANGE_DETAILS,Please tell: Transfer walking time and directions at High Court multimodal terminal (F8) #2,hi-en,Latn,CS3,N0,"{""station"": ""High Court"", ""facility_type"": ""interchange""}","{""station_id"": ""METRO_HIGHCOURT""}",ANSWERABLE_AFTER_MANUAL_VERIFICATION,template_instantiation,TMPL_INTERCHANGE_TRANSFER_HINGLISH_LATN_7
PILOT_T3_TR_000039,,SFAM_INTERCHANGE_TRANSFER_009,FAM_INTERCHANGE_TRANSFER_009,PARA_INTERCHANGE_TRANSFER_8_1,T3_FINE_V1,interchange_transfer,GET_INTERCHANGE_DETAILS,"Excuse me, तिरुमंगलम इंटरचेंज पर दूसरी लाइन में ट्रांसफर करने का मार्ग क्या है? (बदलाव F9) #6",hi,Deva,CS0,N0,"{""station"": ""तिरुमंगलम"", ""facility_type"": ""इंटरचेंज""}","{""station_id"": ""METRO_THIRUMANGALAM""}",ANSWERABLE_AFTER_MANUAL_VERIFICATION,template_instantiation,TMPL_INTERCHANGE_TRANSFER_HI_DEVA_8
PILOT_T3_TR_000040,,SFAM_TICKETING_AND_PASSES_005,FAM_TICKETING_AND_PASSES_005,PARA_TICKETING_AND_PASSES_4_3,T3_FINE_V1,ticketing_and_passes,GET_TICKETING_POLICY,How can regular passengers apply for and renew Student Concession Card (F5)?,hi-en,Latn,CS3,N0,"{""ticket_type"": ""student_pass"", ""transport_mode"": ""transit""}",{},ANSWERABLE_NOW,template_instantiation,TMPL_TICKETING_AND_PASSES_HINGLISH_LATN_4
PILOT_T3_TR_000041,,SFAM_ROUTE_STOP_MEMBERSHIP_007,FAM_ROUTE_STOP_MEMBERSHIP_007,PARA_ROUTE_STOP_MEMBERSHIP_6_2,T3_FINE_V1,route_stop_membership,CHECK_STOP_ON_ROUTE,Quick check: kya bus 19B ka thiruvanmiyur par stoppage hai confirm kare? [check F7] #4,hi,Latn,CS0,N0,"{""route_number"": ""19B"", ""stop"": ""thiruvanmiyur"", ""transport_mode"": ""bus""}","{""route_id"": ""GTFS_ROUTE_10696"", ""stop_id"": ""BUS_3247310920""}",ANSWERABLE_WITH_PROVISIONAL_DATA,template_instantiation,TMPL_ROUTE_STOP_MEMBERSHIP_HI_LATN_6
PILOT_T3_TR_000042,,SFAM_SERVICE_FREQUENCY_005,FAM_SERVICE_FREQUENCY_005,PARA_SERVICE_FREQUENCY_4_1,T3_FINE_V1,service_frequency,GET_SERVICE_FREQUENCY,"Excuse me, सीएमबीटी और थाउजेंड लाइट्स के बीच मेट्रो हर कितने मिनट के अंतराल पर चलती है? (आवृत्ति F5) #6",hi,Deva,CS0,N0,"{""origin"": ""सीएमबीटी"", ""destination"": ""थाउजेंड लाइट्स"", ""timing_type"": ""frequency"", ""transport_mode"": ""मेट्रो""}","{""origin_id"": ""METRO_PURATCHI_THALAIVI_DR_J_JAYALALITHAA_CMBT"", ""destination_id"": ""METRO_THOUSAND_LIGHTS""}",ANSWERABLE_NOW,template_instantiation,TMPL_SERVICE_FREQUENCY_HI_DEVA_4
